% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:cap1_copo2_0_1plstc_S21,im:cap1_copo2_0_1plstc_S21,re:cap1_copo2_0_5plstc_S21,im:cap1_copo2_0_5plstc_S21,re:cap1_copo2_0_75plstc_S21,im:cap1_copo2_0_75plstc_S21,re:cap1_copo2_1plstc_S21,im:cap1_copo2_1plstc_S21,
1.070000000000000E+009,-1.973066478967667E-001,-9.527323842048645E-001,-1.954994915778555E-001,-9.527024395267952E-001,-1.980449165420539E-001,-9.528202141921646E-001,-1.978142791858856E-001,-9.525991651851441E-001,-1.972193355589122E-001,-9.526677771894908E-001,
1.075000000000000E+009,-2.055534124374390E-001,-9.507496953010559E-001,-2.038191921276147E-001,-9.507229125828209E-001,-2.063888079683765E-001,-9.508269890256266E-001,-2.061334134266904E-001,-9.505645692830091E-001,-2.055347458571376E-001,-9.506432377999550E-001,
1.080000000000000E+009,-2.142169475555420E-001,-9.492469429969788E-001,-2.124161531737650E-001,-9.492265760236890E-001,-2.149955867014127E-001,-9.492554768915966E-001,-2.147566962569468E-001,-9.490652867593794E-001,-2.141927194043576E-001,-9.490904742373142E-001,
1.085000000000000E+009,-2.225326895713806E-001,-9.472588896751404E-001,-2.209577649648057E-001,-9.472492343216867E-001,-2.234581184873333E-001,-9.472435258944573E-001,-2.232172695077979E-001,-9.470754475884626E-001,-2.225449605363811E-001,-9.470931308340116E-001,
1.090000000000000E+009,-2.311986982822418E-001,-9.451464414596558E-001,-2.297103109132095E-001,-9.451834912502061E-001,-2.321919375615431E-001,-9.451693182888896E-001,-2.319537791675077E-001,-9.450221713815188E-001,-2.313065678883939E-001,-9.450558211758312E-001,
1.095000000000000E+009,-2.389529943466187E-001,-9.431917667388916E-001,-2.373487131063763E-001,-9.432153053805656E-001,-2.398612428435455E-001,-9.432256019347234E-001,-2.395949477564149E-001,-9.430468290439855E-001,-2.388787361953869E-001,-9.430676979835446E-001,
1.100000000000000E+009,-2.472553998231888E-001,-9.414033293724060E-001,-2.456829218409807E-001,-9.414100200353001E-001,-2.481694812993787E-001,-9.414092266920935E-001,-2.479272076700369E-001,-9.412658915971297E-001,-2.471912304131805E-001,-9.413297789699818E-001,
1.105000000000000E+009,-2.547460198402405E-001,-9.383031725883484E-001,-2.531971815640624E-001,-9.383976177765352E-001,-2.556653131539590E-001,-9.383226362124734E-001,-2.554199009144182E-001,-9.381461773128375E-001,-2.547120809062437E-001,-9.382638433202855E-001,
1.110000000000000E+009,-2.627224326133728E-001,-9.360368251800537E-001,-2.612363385717829E-001,-9.361601751342727E-001,-2.637312033669225E-001,-9.361074562313878E-001,-2.634839241681201E-001,-9.359164135660090E-001,-2.628052484562040E-001,-9.360207535043974E-001,
1.115000000000000E+009,-2.705859243869782E-001,-9.336302876472473E-001,-2.690178009030718E-001,-9.337115275006989E-001,-2.715901967417357E-001,-9.336456910315001E-001,-2.713331232781440E-001,-9.333873361883678E-001,-2.706027773505019E-001,-9.335522990481440E-001,
1.120000000000000E+009,-2.783843278884888E-001,-9.313198328018189E-001,-2.769785048130016E-001,-9.315431472258707E-001,-2.795779788334731E-001,-9.313588211402188E-001,-2.793069296288738E-001,-9.312537399943026E-001,-2.784970970470566E-001,-9.313408367982080E-001,
1.125000000000000E+009,-2.859654426574707E-001,-9.288793802261353E-001,-2.845530354814486E-001,-9.290201677009710E-001,-2.870712732047934E-001,-9.288532452851479E-001,-2.868034783360325E-001,-9.286247394626771E-001,-2.860263483463933E-001,-9.288483048079966E-001,
1.130000000000000E+009,-2.941721379756928E-001,-9.265975952148438E-001,-2.927503046486658E-001,-9.267902438400713E-001,-2.952381733942421E-001,-9.265468937027764E-001,-2.950097233652748E-001,-9.263712788133199E-001,-2.942363138197615E-001,-9.265949932331459E-001,
1.135000000000000E+009,-3.026067614555359E-001,-9.241709113121033E-001,-3.010300815609879E-001,-9.243015785622799E-001,-3.034749485293862E-001,-9.240291234894785E-001,-3.032407142666120E-001,-9.238359181628921E-001,-3.024387626928107E-001,-9.240978629023594E-001,
1.140000000000000E+009,-3.100272119045258E-001,-9.211326241493225E-001,-3.086142985323783E-001,-9.215480836451959E-001,-3.110349914836926E-001,-9.212475126740163E-001,-3.108179610485966E-001,-9.210370992194309E-001,-3.100191686711405E-001,-9.213044640471966E-001,
1.145000000000000E+009,-3.181253969669342E-001,-9.188892841339111E-001,-3.167272332814848E-001,-9.191986773845348E-001,-3.190912556379474E-001,-9.188506925848043E-001,-3.187818978389311E-001,-9.186504970931964E-001,-3.181268567288185E-001,-9.189407459580263E-001,
1.150000000000000E+009,-3.259565532207489E-001,-9.157344102859497E-001,-3.246479271379826E-001,-9.159102802574338E-001,-3.270077477143819E-001,-9.154769788513006E-001,-3.266981388462557E-001,-9.152110917794567E-001,-3.260058135772989E-001,-9.155450519337605E-001,
1.155000000000000E+009,-3.338058292865753E-001,-9.126284122467041E-001,-3.325343410346931E-001,-9.128363908077454E-001,-3.347969790222644E-001,-9.124133210233456E-001,-3.345032875468433E-001,-9.122552372933084E-001,-3.338080783870128E-001,-9.124447452120805E-001,
1.160000000000000E+009,-3.418649137020111E-001,-9.101964235305786E-001,-3.406618465346341E-001,-9.105061609218832E-001,-3.429979677560879E-001,-9.100772284802560E-001,-3.426339767079186E-001,-9.099114322188395E-001,-3.419131416611117E-001,-9.101824467009601E-001,
1.165000000000000E+009,-3.499333560466766E-001,-9.068500399589539E-001,-3.487447805809989E-001,-9.071225616129804E-001,-3.510459708784136E-001,-9.067326795376478E-001,-3.506919406311144E-001,-9.065147633083335E-001,-3.499338838760333E-001,-9.068080872460653E-001,
1.170000000000000E+009,-3.582172393798828E-001,-9.032220244407654E-001,-3.571105675256998E-001,-9.035475740178853E-001,-3.594281391207185E-001,-9.031040657316767E-001,-3.591117401418883E-001,-9.029311851966917E-001,-3.583435946558493E-001,-9.032520537586951E-001,
1.175000000000000E+009,-3.669642508029938E-001,-9.004365205764771E-001,-3.657187153390661E-001,-9.006671661603362E-001,-3.679857837405571E-001,-9.002318874563662E-001,-3.676485866499123E-001,-9.001190089586606E-001,-3.668818284892116E-001,-9.003912558892651E-001,
1.180000000000000E+009,-3.743145465850830E-001,-8.974431157112122E-001,-3.730125392049835E-001,-8.978310001400018E-001,-3.752945815136723E-001,-8.974020343886201E-001,-3.749909074200037E-001,-8.971735726543128E-001,-3.742183096064634E-001,-8.974997352850405E-001,
1.185000000000000E+009,-3.821100592613220E-001,-8.938993215560913E-001,-3.809601359246005E-001,-8.940000415912180E-001,-3.831461615705004E-001,-8.935738881381051E-001,-3.828037739141114E-001,-8.934250284454501E-001,-3.820474476326588E-001,-8.937361286295790E-001,
1.190000000000000E+009,-3.892870247364044E-001,-8.905452489852905E-001,-3.881295305177541E-001,-8.907770859853883E-001,-3.903406092070062E-001,-8.903495570782221E-001,-3.900489772621613E-001,-8.901894545430712E-001,-3.892601057022982E-001,-8.904797161082400E-001,
1.195000000000000E+009,-3.970324099063873E-001,-8.870739936828613E-001,-3.958835562366194E-001,-8.873142778676543E-001,-3.981758209598756E-001,-8.868842067440920E-001,-3.978316206713692E-001,-8.867290270792738E-001,-3.970563833362806E-001,-8.870445558432576E-001,
1.200000000000000E+009,-4.051582515239716E-001,-8.841016292572022E-001,-4.039288414861345E-001,-8.843321897238265E-001,-4.062038781350701E-001,-8.838463804540682E-001,-4.059133299495071E-001,-8.837104523895086E-001,-4.051502839933436E-001,-8.840344401459404E-001,
1.205000000000000E+009,-4.124990999698639E-001,-8.810644745826721E-001,-4.113174488008150E-001,-8.813091345656178E-001,-4.135870986037862E-001,-8.808911494686903E-001,-4.132539111996328E-001,-8.806804652317850E-001,-4.124551098775744E-001,-8.810271544876260E-001,
1.210000000000000E+009,-4.204073846340179E-001,-8.775174021720886E-001,-4.192590301505115E-001,-8.776307431339270E-001,-4.215031710798360E-001,-8.771287445640399E-001,-4.211812069352278E-001,-8.769832696110684E-001,-4.204394312522999E-001,-8.773508876472237E-001,
1.215000000000000E+009,-4.283502399921417E-001,-8.740082979202271E-001,-4.269106290218719E-001,-8.741439536556857E-001,-4.292637803233143E-001,-8.736323723163133E-001,-4.288537306532871E-001,-8.734173761424162E-001,-4.281332347969862E-001,-8.738668999288028E-001,
