% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:cap1_copo2_0_5leite_desnato_S21,im:cap1_copo2_0_5leite_desnato_S21,re:cap1_copo2_0_5leite_semi_desnato_S21,im:cap1_copo2_0_5leite_semi_desnato_S21,re:cap1_copo2_0_5leite_integral_S21,im:cap1_copo2_0_5leite_integral_S21,
1.050000000000000E+009,-1.625301311978749E-001,-9.575038802197482E-001,-1.626913992038988E-001,-9.573743832550257E-001,-1.614300997104645E-001,-9.574906091423037E-001,-1.624823348851265E-001,-9.575457406329719E-001,
1.055000000000000E+009,-1.706141218156983E-001,-9.569599695776010E-001,-1.712274926851848E-001,-9.567072393820604E-001,-1.695368642511368E-001,-9.569059140815737E-001,-1.706007038272567E-001,-9.569488529175214E-001,
1.060000000000000E+009,-1.783796058016164E-001,-9.560001167264807E-001,-1.791711476947280E-001,-9.556217562740195E-001,-1.773803980274201E-001,-9.559821323623660E-001,-1.784183577407315E-001,-9.560220010327600E-001,
1.065000000000000E+009,-1.875004004151971E-001,-9.551431935323456E-001,-1.883923527041386E-001,-9.545352373771960E-001,-1.864789856166840E-001,-9.550502394599917E-001,-1.874911363513807E-001,-9.551444623674310E-001,
1.070000000000000E+009,-1.953453348036815E-001,-9.533500786191036E-001,-1.963104198677030E-001,-9.525495495433551E-001,-1.943517717084885E-001,-9.532704321670533E-001,-1.954079603896129E-001,-9.533486760687306E-001,
1.075000000000000E+009,-2.040153403533347E-001,-9.515346882375944E-001,-2.049112762995864E-001,-9.505777457505025E-001,-2.029940551881791E-001,-9.513789334716798E-001,-2.040880121799977E-001,-9.514639479596554E-001,
1.080000000000000E+009,-2.129212054822199E-001,-9.499620519516439E-001,-2.138457979802108E-001,-9.490055259381631E-001,-2.119806015176774E-001,-9.498589893646243E-001,-2.130212802018166E-001,-9.499199221024622E-001,
1.085000000000000E+009,-2.216534766623169E-001,-9.477868659981055E-001,-2.224869865541554E-001,-9.468129931488583E-001,-2.206756279039384E-001,-9.477501296310427E-001,-2.216760177292245E-001,-9.478121802493690E-001,
1.090000000000000E+009,-2.305616413217027E-001,-9.455684532335176E-001,-2.312869111487797E-001,-9.444424626344014E-001,-2.294514153690339E-001,-9.454111066703799E-001,-2.305411843955859E-001,-9.455983346800924E-001,
1.095000000000000E+009,-2.381792539359491E-001,-9.434049851723142E-001,-2.388559621250135E-001,-9.422491168873798E-001,-2.370947725992203E-001,-9.432579685478213E-001,-2.382004960331266E-001,-9.433032981751715E-001,
1.100000000000000E+009,-2.464628864735594E-001,-9.414529267419995E-001,-2.472313069390650E-001,-9.403178101540732E-001,-2.453723482732773E-001,-9.413220584526064E-001,-2.464712135033865E-001,-9.414449275341880E-001,
1.105000000000000E+009,-2.538965315541246E-001,-9.382843127072957E-001,-2.545486121734172E-001,-9.371458780347550E-001,-2.528038719825745E-001,-9.381962895927430E-001,-2.538900671494982E-001,-9.382748799804728E-001,
1.110000000000000E+009,-2.618025141961900E-001,-9.359114381850407E-001,-2.625270860214552E-001,-9.348261792325072E-001,-2.607215233879090E-001,-9.359003185920719E-001,-2.618393615844564E-001,-9.358969125517815E-001,
1.115000000000000E+009,-2.694848105111256E-001,-9.334359080759518E-001,-2.702370693758165E-001,-9.323046244326143E-001,-2.684421335544587E-001,-9.333429690513613E-001,-2.694768912501544E-001,-9.334556132026903E-001,
1.120000000000000E+009,-2.772980253381130E-001,-9.313582851352623E-001,-2.780566252446972E-001,-9.301215711000315E-001,-2.762165447196961E-001,-9.312545604743959E-001,-2.773120791020006E-001,-9.312731359379627E-001,
1.125000000000000E+009,-2.847171940343336E-001,-9.288380096934232E-001,-2.854650191930175E-001,-9.276377701601130E-001,-2.837194331207276E-001,-9.287529781303408E-001,-2.847082501347860E-001,-9.288015085953253E-001,
1.130000000000000E+009,-2.928661363992675E-001,-9.266333378926022E-001,-2.936336804752290E-001,-9.253957850459318E-001,-2.918188825664521E-001,-9.265649473228457E-001,-2.928447860671772E-001,-9.265999922657064E-001,
1.135000000000000E+009,-3.009978358261698E-001,-9.241701291689192E-001,-3.018392618347425E-001,-9.228588053499636E-001,-2.999894786624909E-001,-9.240456342163088E-001,-3.010394861693309E-001,-9.241543190398992E-001,
1.140000000000000E+009,-3.084906891026242E-001,-9.213822328702266E-001,-3.092603664480234E-001,-9.199646811088713E-001,-3.074517669677734E-001,-9.211961573638917E-001,-3.084897487339015E-001,-9.213982155057038E-001,
1.145000000000000E+009,-3.164812384618674E-001,-9.191495978086302E-001,-3.172399899905036E-001,-9.176436305431667E-001,-3.153822901115418E-001,-9.188966565589907E-001,-3.164763934440725E-001,-9.190872767086621E-001,
1.150000000000000E+009,-3.242681278583723E-001,-9.158484415453301E-001,-3.250003844123819E-001,-9.143014413568562E-001,-3.231363224830628E-001,-9.155978236083986E-001,-3.243398807752144E-001,-9.158198524555681E-001,
1.155000000000000E+009,-3.319615841514343E-001,-9.129315536500375E-001,-3.325652218131293E-001,-9.113280865482888E-001,-3.307327246665955E-001,-9.126295569152834E-001,-3.320002854777900E-001,-9.128427007640043E-001,
1.160000000000000E+009,-3.400434067310310E-001,-9.108340033050715E-001,-3.406456993880359E-001,-9.093123858563821E-001,-3.387972927513123E-001,-9.106538526077272E-001,-3.399884973685027E-001,-9.108052058440761E-001,
1.165000000000000E+009,-3.480991184930632E-001,-9.076797459200183E-001,-3.487342392659169E-001,-9.060523857492353E-001,-3.468149542350770E-001,-9.074092306175235E-001,-3.481103867047183E-001,-9.076442285949744E-001,
1.170000000000000E+009,-3.564548539514196E-001,-9.042350571014686E-001,-3.571401920325080E-001,-9.026724755298802E-001,-3.551698653774262E-001,-9.040618438186648E-001,-3.565092571090673E-001,-9.041966494719719E-001,
1.175000000000000E+009,-3.650575792959464E-001,-9.016853945496173E-001,-3.657484954720305E-001,-9.000609337175474E-001,-3.637501075019837E-001,-9.014506238136294E-001,-3.651161031145214E-001,-9.016364808955608E-001,
1.180000000000000E+009,-3.726030452796470E-001,-8.991183175741875E-001,-3.732249432943863E-001,-8.974226107701933E-001,-3.712864999408723E-001,-8.989240859756471E-001,-3.726313835559375E-001,-8.990815808300847E-001,
1.185000000000000E+009,-3.807970750824062E-001,-8.953758565325359E-001,-3.813655010916670E-001,-8.936497416556841E-001,-3.793797999897005E-001,-8.952493613395693E-001,-3.808428004814222E-001,-8.953449983086426E-001,
1.190000000000000E+009,-3.883132753246373E-001,-8.921244599508977E-001,-3.888483416125614E-001,-8.903589674549091E-001,-3.868718938808443E-001,-8.919457325592043E-001,-3.883473523502172E-001,-8.920727991532358E-001,
1.195000000000000E+009,-3.963245037631574E-001,-8.885098152079803E-001,-3.966966427636548E-001,-8.867018861118541E-001,-3.948114332351686E-001,-8.883683072891236E-001,-3.963559496511332E-001,-8.884496267648414E-001,
1.200000000000000E+009,-4.044581300528035E-001,-8.853788335311642E-001,-4.048137705838817E-001,-8.835905165565884E-001,-4.028882973155976E-001,-8.852736419334413E-001,-4.044575269926952E-001,-8.853333620065441E-001,
1.205000000000000E+009,-4.118191427497602E-001,-8.822859988338749E-001,-4.122228697267468E-001,-8.804901138456655E-001,-4.102577402973177E-001,-8.821906482353212E-001,-4.118839430175277E-001,-8.822020985910324E-001,
