% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:pl_1_S21,im:pl_1_S21,
1.853040000000000E+009,-9.698884487152100E-001,-3.696775436401367E-002,-9.699045958328249E-001,-3.707095498561860E-002,
1.854000000000000E+009,-9.696172475814819E-001,-3.526785224676132E-002,-9.697250058174136E-001,-3.523000687837601E-002,
1.854960000000000E+009,-9.694036841392517E-001,-3.381926938891411E-002,-9.695048044776919E-001,-3.354960108757020E-002,
1.855920000000000E+009,-9.694101810455322E-001,-3.242598101496697E-002,-9.694442656326296E-001,-3.207987210273744E-002,
1.856880000000000E+009,-9.694356322288513E-001,-3.076116368174553E-002,-9.693954362297059E-001,-3.069087883472443E-002,
1.857840000000000E+009,-9.692683815956116E-001,-2.936954237520695E-002,-9.692145424842836E-001,-2.936899415731431E-002,
1.858800000000000E+009,-9.691348671913147E-001,-2.727578580379486E-002,-9.691978036689760E-001,-2.729028788864613E-002,
1.859760000000000E+009,-9.689280390739441E-001,-2.535864524543285E-002,-9.689868134689335E-001,-2.505870763123036E-002,
1.860720000000000E+009,-9.687878489494324E-001,-2.333900146186352E-002,-9.688932192993166E-001,-2.322509344935418E-002,
1.861680000000000E+009,-9.686189293861389E-001,-2.172059938311577E-002,-9.686168931007387E-001,-2.150312674462796E-002,
1.862640000000000E+009,-9.682008624076843E-001,-2.011469751596451E-002,-9.683638739395144E-001,-1.988007910132408E-002,
1.863600000000000E+009,-9.683403968811035E-001,-1.845980063080788E-002,-9.683173750114443E-001,-1.813031286001206E-002,
1.864560000000000E+009,-9.680595993995667E-001,-1.652969047427177E-002,-9.680607671356204E-001,-1.631184141635895E-002,
1.865520000000000E+009,-9.678945541381836E-001,-1.463167555630207E-002,-9.678579461097718E-001,-1.460786003679037E-002,
1.866480000000000E+009,-9.678388237953186E-001,-1.286463625729084E-002,-9.677109272384645E-001,-1.285135214656592E-002,
1.867440000000000E+009,-9.672349095344544E-001,-1.151341199874878E-002,-9.673741275024417E-001,-1.119097362279892E-002,
1.868400000000000E+009,-9.671338200569153E-001,-9.934544563293457E-003,-9.672499135398868E-001,-9.603791571855548E-003,
1.869360000000000E+009,-9.669497013092041E-001,-8.105063810944557E-003,-9.670280349349978E-001,-7.943339102864266E-003,
1.870320000000000E+009,-9.665586948394775E-001,-6.481198593974114E-003,-9.666706532478334E-001,-6.462706862688065E-003,
1.871280000000000E+009,-9.664304256439209E-001,-4.898618906736374E-003,-9.665289758491518E-001,-4.736382871866227E-003,
1.872240000000000E+009,-9.662492871284485E-001,-3.275588154792786E-003,-9.662126889038089E-001,-3.179399583935739E-003,
1.873200000000000E+009,-9.659576416015625E-001,-1.874433830380440E-003,-9.660616587829591E-001,-1.656670216321945E-003,
1.874160000000000E+009,-9.658166766166687E-001,-2.692490816116333E-004,-9.658502181434633E-001,-2.239028888940811E-004,
1.875120000000000E+009,-9.655825495719910E-001,9.768716990947723E-004,-9.654862066459659E-001,1.169201748371124E-003,
1.876080000000000E+009,-9.653848409652710E-001,2.608532086014748E-003,-9.653460663986209E-001,2.835367716848850E-003,
1.877040000000000E+009,-9.652093052864075E-001,4.282002337276936E-003,-9.652767543983460E-001,4.473086573481560E-003,
1.878000000000000E+009,-9.652813673019409E-001,5.821800325065851E-003,-9.650967857170107E-001,5.948950192779304E-003,
1.878960000000000E+009,-9.649201631546021E-001,7.567415013909340E-003,-9.649160089683534E-001,7.510627202242615E-003,
1.879920000000000E+009,-9.647856354713440E-001,8.639557287096977E-003,-9.649185195922854E-001,9.014250065088273E-003,
1.880880000000000E+009,-9.647601246833801E-001,1.050728000700474E-002,-9.648052720260623E-001,1.074242800831795E-002,
1.881840000000000E+009,-9.644166827201843E-001,1.209474913775921E-002,-9.645266562271120E-001,1.221764601200819E-002,
1.882800000000000E+009,-9.643298387527466E-001,1.362666301429272E-002,-9.642830520057681E-001,1.380959771811962E-002,
1.883760000000000E+009,-9.641287326812744E-001,1.506755128502846E-002,-9.642109733772279E-001,1.532044022530318E-002,
1.884720000000000E+009,-9.640522003173828E-001,1.639751717448235E-002,-9.641005211448670E-001,1.678277207136154E-002,
1.885680000000000E+009,-9.639806151390076E-001,1.796924322843552E-002,-9.640181502723697E-001,1.829741307556630E-002,
