% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:cap3_copo1_air_S21,im:cap3_copo1_air_S21,re:cap3_copo1_water_S21,im:cap3_copo1_water_S21,re:cap3_copo1_0_1plstc_S21,im:cap3_copo1_0_1plstc_S21,re:cap3_copo1_0_5plstc_S21,im:cap3_copo1_0_5plstc_S21,re:cap3_copo1_1plstc_S21,im:cap3_copo1_1plstc_S21,
1.085000000000000E+009,-2.190468758344650E-001,-9.476889371871948E-001,-4.125266826330111E-001,-8.222299721018680E-001,-2.181469410727020E-001,-9.473257592488751E-001,-2.189443558799034E-001,-9.474239019559663E-001,-2.190968367338181E-001,-9.474836799621584E-001,-2.191393484562078E-001,-9.475079358514819E-001,
1.090000000000000E+009,-2.279416918754578E-001,-9.454725980758667E-001,-4.530480116631929E-001,-7.063307477710878E-001,-2.268846646267245E-001,-9.452023602656873E-001,-2.277650407437428E-001,-9.453338356429696E-001,-2.279417821407318E-001,-9.454113726615907E-001,-2.279123699626176E-001,-9.455086502332770E-001,
1.095000000000000E+009,-2.355001270771027E-001,-9.435811638832092E-001,-3.503238847821503E-001,-4.839065335826723E-001,-2.345153464513508E-001,-9.432333396932646E-001,-2.354095812535936E-001,-9.433226765175000E-001,-2.356403947591782E-001,-9.433905554771425E-001,-2.356720807771476E-001,-9.434468402888711E-001,
1.100000000000000E+009,-2.439000755548477E-001,-9.417266249656677E-001,-6.158149194708825E-003,-5.362508712885439E-001,-2.428629312911541E-001,-9.414313578882418E-001,-2.437594593667712E-001,-9.415360720377048E-001,-2.439479711055756E-001,-9.416194720268252E-001,-2.439614874693608E-001,-9.416410897975465E-001,
1.105000000000000E+009,-2.513942122459412E-001,-9.386306405067444E-001,2.578073040989019E-002,-7.711725733106692E-001,-2.503233254075944E-001,-9.383687940714104E-001,-2.512338241853052E-001,-9.384812632546793E-001,-2.514526400566102E-001,-9.386005420684815E-001,-2.514785125008149E-001,-9.386309031986553E-001,
1.110000000000000E+009,-2.594076395034790E-001,-9.365200996398926E-001,-4.343155384712030E-002,-8.680775958847048E-001,-2.583341324365474E-001,-9.362105838860180E-001,-2.592993900510432E-001,-9.363140421620908E-001,-2.595102596759796E-001,-9.364233929634095E-001,-2.594923727082081E-001,-9.364202226074758E-001,
1.115000000000000E+009,-2.672605514526367E-001,-9.339632987976074E-001,-9.973185739649201E-002,-9.037198149728092E-001,-2.662101340872745E-001,-9.337652444576854E-001,-2.671080015233650E-001,-9.338350574809219E-001,-2.673313972473145E-001,-9.339287311553957E-001,-2.673653153220279E-001,-9.340028530691665E-001,
1.120000000000000E+009,-2.752157449722290E-001,-9.319674968719482E-001,-1.402386327148743E-001,-9.182378141484378E-001,-2.741848583885307E-001,-9.316425063824451E-001,-2.750591297720761E-001,-9.316773184227898E-001,-2.752535154819489E-001,-9.317652347564699E-001,-2.752660137397903E-001,-9.318206461061283E-001,
1.125000000000000E+009,-2.826838493347168E-001,-9.293885231018066E-001,-1.707025019977112E-001,-9.243159371355287E-001,-2.817503852803633E-001,-9.292021508969092E-001,-2.826071611502057E-001,-9.291736110653255E-001,-2.828245933055878E-001,-9.292343687057497E-001,-2.828430457860254E-001,-9.293127882087535E-001,
1.130000000000000E+009,-2.909386456012726E-001,-9.272623658180237E-001,-1.951876224549866E-001,-9.269161830673525E-001,-2.899178183210343E-001,-9.270069305610381E-001,-2.907531842534549E-001,-9.269635704706527E-001,-2.910204382896424E-001,-9.270532001495364E-001,-2.910013948317579E-001,-9.271181691315138E-001,
1.135000000000000E+009,-2.992545962333679E-001,-9.246101975440979E-001,-2.160069726220932E-001,-9.273616865289613E-001,-2.981724296738428E-001,-9.245800504415004E-001,-2.990502870775704E-001,-9.245368410230810E-001,-2.992788837432862E-001,-9.245336342811585E-001,-2.993376033934666E-001,-9.246690457454329E-001,
1.140000000000000E+009,-3.067818582057953E-001,-9.219618439674377E-001,-2.331813496202851E-001,-9.262741331745302E-001,-3.058293670402996E-001,-9.218653077404045E-001,-3.065763930501275E-001,-9.216792410669266E-001,-3.068213811874390E-001,-9.217707548141481E-001,-3.068646621884102E-001,-9.218464323566261E-001,
1.145000000000000E+009,-3.147240877151489E-001,-9.196047186851502E-001,-2.489168211575394E-001,-9.250683766798404E-001,-3.139502554804591E-001,-9.195574287273688E-001,-3.147170014389482E-001,-9.193745973036669E-001,-3.148693152904511E-001,-9.194753107070924E-001,-3.149184158254436E-001,-9.194939202316534E-001,
