% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:Cap3_duto1_air_S21,im:Cap3_duto1_air_S21,re:Cap3_duto1_air_water1_S21,im:Cap3_duto1_air_water1_S21,re:Cap3_duto1_1plstc_S21,im:Cap3_duto1_1plstc_S21,re:Cap3_duto1_0_1plstc_S21,im:Cap3_duto1_0_1plstc_S21,re:Cap3_duto1_0_5plstc_S21,im:Cap3_duto1_0_5plstc_S21,
1.065000000000000E+009,-1.849356870561351E-001,-6.654089246814237E-001,-3.023992934077454E-001,-8.937246311700442E-001,-1.957663898291634E-001,-6.684492979804083E-001,-1.864581268950803E-001,-6.681638329536983E-001,-1.862886371893318E-001,-6.683220139958631E-001,-1.893778990263642E-001,-6.657686437541284E-001,
1.070000000000000E+009,-6.956095549752418E-002,-7.215904015938019E-001,-3.266710862612915E-001,-8.617596045451357E-001,-7.672308534236765E-002,-7.160613341140348E-001,-7.212389463291742E-002,-7.223367840231527E-001,-7.222638872646134E-002,-7.224098954636938E-001,-7.197140529907535E-002,-7.186783475431409E-001,
1.075000000000000E+009,-4.763941027825210E-002,-8.132655917284318E-001,-3.457698907942963E-001,-8.077405536328126E-001,-4.891677556100751E-002,-8.078772527494306E-001,-4.935978926918825E-002,-8.127686945848701E-001,-4.952765080597408E-002,-8.126381949779354E-001,-4.763145505951435E-002,-8.108305710530306E-001,
1.080000000000000E+009,-7.017590769494338E-002,-8.706426383283286E-001,-3.321327007759095E-001,-7.224769647210695E-001,-6.951887702199988E-002,-8.673849100005455E-001,-7.113654781385229E-002,-8.699537160172872E-001,-7.110466442027751E-002,-8.698106083850978E-001,-6.947689690886685E-002,-8.693378910488397E-001,
1.085000000000000E+009,-9.922215136115024E-002,-9.001880348293310E-001,-2.327548026787186E-001,-6.477405961212159E-001,-9.827970226990752E-002,-8.982370447630950E-001,-9.977579370993735E-002,-8.995132635480393E-001,-9.965464355731139E-002,-8.993868805763645E-001,-9.857701447145560E-002,-8.994702540760916E-001,
1.090000000000000E+009,-1.260631617582410E-001,-9.156882122787114E-001,-1.044016552341843E-001,-6.915427170799257E-001,-1.251659585379499E-001,-9.145026315791384E-001,-1.262904081487031E-001,-9.150110273535852E-001,-1.262013254863253E-001,-9.149869308099503E-001,-1.255682741731391E-001,-9.152712419490416E-001,
1.095000000000000E+009,-1.476735538948871E-001,-9.241441712336579E-001,-6.865479602468493E-002,-7.896480592099001E-001,-1.467755099230340E-001,-9.233027117622071E-001,-1.477862322004116E-001,-9.235368441429237E-001,-1.476225274880072E-001,-9.235815007003246E-001,-1.472948244051664E-001,-9.238480588120446E-001,
1.100000000000000E+009,-1.667858823233191E-001,-9.291316210837144E-001,-8.891732271368030E-002,-8.549846993470766E-001,-1.659019700922202E-001,-9.285587000472013E-001,-1.666913994655015E-001,-9.287116121397292E-001,-1.665907518437931E-001,-9.287121338743040E-001,-1.663728827497414E-001,-9.289657998941069E-001,
1.105000000000000E+009,-1.829431331622313E-001,-9.306003511421896E-001,-1.186243872410202E-001,-8.883050732351687E-001,-1.822045530659945E-001,-9.302371055761506E-001,-1.827996480244875E-001,-9.301994417562682E-001,-1.827491452973105E-001,-9.302842950574179E-001,-1.826904991895713E-001,-9.304224582253019E-001,
1.110000000000000E+009,-1.981801501129068E-001,-9.318793605719907E-001,-1.462833818672181E-001,-9.067492570932008E-001,-1.974628429446438E-001,-9.317113927635341E-001,-1.979818352830021E-001,-9.317194918226570E-001,-1.979106450613525E-001,-9.317238604187181E-001,-1.979006062730917E-001,-9.317519840647518E-001,
1.115000000000000E+009,-2.121355035270737E-001,-9.318845198737520E-001,-1.702382261238480E-001,-9.165065316307071E-001,-2.114764557677932E-001,-9.318616450892328E-001,-2.118937416338389E-001,-9.317823700592958E-001,-2.119045049091636E-001,-9.318453442178958E-001,-2.119486493964854E-001,-9.318235428132472E-001,
