% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:Cap1_duto1_0_1plstc_S21,im:Cap1_duto1_0_1plstc_S21,re:Cap1_duto1_0_5plstc_S21,im:Cap1_duto1_0_5plstc_S21,re:Cap1_duto1_0_75plstc_S21,im:Cap1_duto1_0_75plstc_S21,re:Cap1_duto1_1plstc_S21,im:Cap1_duto1_1plstc_S21,
1.090000000000000E+009,-1.204575365811999E-001,-9.118205179766016E-001,-1.225575474169052E-001,-9.123211632188173E-001,-1.075065580420993E-001,-9.018382891440999E-001,-1.183038090215021E-001,-9.101039823297454E-001,-1.201069839072228E-001,-9.113819534530642E-001,
1.095000000000000E+009,-1.433460252439833E-001,-9.221160413279460E-001,-1.446441267469910E-001,-9.221718908609439E-001,-1.331804007625065E-001,-9.167383513023509E-001,-1.415711294913670E-001,-9.210307649425235E-001,-1.430855436420441E-001,-9.218364817733766E-001,
1.100000000000000E+009,-1.635021683960307E-001,-9.280558053620773E-001,-1.641777570336137E-001,-9.281207475371585E-001,-1.556320706676858E-001,-9.250967194682185E-001,-1.621141343016822E-001,-9.274694079143155E-001,-1.633305948724747E-001,-9.278679655647280E-001,
1.105000000000000E+009,-1.805687422351540E-001,-9.301081771390544E-001,-1.808717855641220E-001,-9.301059705257690E-001,-1.742682741420805E-001,-9.283374753937462E-001,-1.794367019919170E-001,-9.295921757174754E-001,-1.804216489152908E-001,-9.298444251899721E-001,
1.110000000000000E+009,-1.964167777747261E-001,-9.316468818060997E-001,-1.964869044321992E-001,-9.318409275215639E-001,-1.913682949676339E-001,-9.306435218732186E-001,-1.954694437276437E-001,-9.313376839778634E-001,-1.962689140834809E-001,-9.314690208587649E-001,
1.115000000000000E+009,-2.108209501323647E-001,-9.318057359701796E-001,-2.108433533879060E-001,-9.321074278829714E-001,-2.066762796931725E-001,-9.312345396796027E-001,-2.100203789927087E-001,-9.315708928950122E-001,-2.106924175415040E-001,-9.316591525688175E-001,
1.120000000000000E+009,-2.241155370534634E-001,-9.313927993659457E-001,-2.240862118844162E-001,-9.317972912046024E-001,-2.206619574669337E-001,-9.311644947358720E-001,-2.234633434162698E-001,-9.312430311657948E-001,-2.240477043600083E-001,-9.313011246032718E-001,
1.125000000000000E+009,-2.362440200618394E-001,-9.302555715153673E-001,-2.362365897367829E-001,-9.306906706095522E-001,-2.333824270545797E-001,-9.301904238301368E-001,-2.356927619799519E-001,-9.301322933894951E-001,-2.361950599851609E-001,-9.301629260292056E-001,
1.130000000000000E+009,-2.482061608768230E-001,-9.291026083527462E-001,-2.482348662762788E-001,-9.295835725203067E-001,-2.457413653587996E-001,-9.291722356649347E-001,-2.477107936241182E-001,-9.289746739649184E-001,-2.481494183216095E-001,-9.289713321266178E-001,
1.135000000000000E+009,-2.597482953110826E-001,-9.274785483954356E-001,-2.598407907742768E-001,-9.279790417034610E-001,-2.576633187246643E-001,-9.276288627140892E-001,-2.593251458459927E-001,-9.273632616203300E-001,-2.597722805233002E-001,-9.273838958015443E-001,
