% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:cap2_copo1_0_1plstc_S21,im:cap2_copo1_0_1plstc_S21,re:cap2_copo1_0_5plstc_S21,im:cap2_copo1_0_5plstc_S21,re:cap2_copo1_1plstc_S21,im:cap2_copo1_1plstc_S21,
1.060000000000000E+009,-1.781130215966084E-001,-9.554750397418815E-001,-1.773069245639928E-001,-9.559568387171815E-001,-1.772966922042367E-001,-9.554497586167856E-001,-1.781726013107810E-001,-9.554989166310903E-001,
1.065000000000000E+009,-1.871617787238371E-001,-9.542768611241494E-001,-1.863381135207554E-001,-9.547119482661530E-001,-1.862036440652853E-001,-9.541952911777091E-001,-1.871517703815511E-001,-9.542575003270939E-001,
1.070000000000000E+009,-1.948140846390633E-001,-9.522377851749118E-001,-1.939639245634287E-001,-9.526902942333372E-001,-1.939242530921687E-001,-9.521666670957536E-001,-1.948593362737807E-001,-9.521843441312191E-001,
1.075000000000000E+009,-2.031746771975459E-001,-9.502546396180878E-001,-2.023191183725280E-001,-9.506923174265969E-001,-2.022492810135422E-001,-9.502135268742167E-001,-2.031746496326492E-001,-9.501536682655976E-001,
1.080000000000000E+009,-2.117678978141982E-001,-9.487390399873531E-001,-2.109535744534205E-001,-9.492262431868046E-001,-2.108766887591524E-001,-9.487314621760320E-001,-2.118531776891775E-001,-9.487390426809050E-001,
1.085000000000000E+009,-2.203030303486399E-001,-9.467122841136817E-001,-2.194874261872171E-001,-9.472288873716241E-001,-2.193737641751328E-001,-9.467356910522555E-001,-2.202978686663701E-001,-9.467192554045369E-001,
1.090000000000000E+009,-2.290515594420900E-001,-9.447022953949475E-001,-2.282455701042364E-001,-9.452692873580159E-001,-2.281476772023780E-001,-9.447239598132884E-001,-2.290443197748890E-001,-9.446517598738372E-001,
1.095000000000000E+009,-2.366527684396965E-001,-9.427841400979048E-001,-2.359078970862956E-001,-9.432664371738682E-001,-2.357810523652037E-001,-9.427186850379639E-001,-2.366609921297821E-001,-9.427521644368516E-001,
1.100000000000000E+009,-2.450105662734866E-001,-9.409414060437593E-001,-2.442528667327925E-001,-9.414576494062690E-001,-2.441377079445402E-001,-9.409300453424265E-001,-2.450148358677814E-001,-9.409373507805527E-001,
1.105000000000000E+009,-2.525760424930072E-001,-9.378770632666038E-001,-2.517559397752165E-001,-9.384552850364154E-001,-2.516207708587788E-001,-9.378899573871633E-001,-2.525068290989807E-001,-9.378829453885799E-001,
1.110000000000000E+009,-2.605635205595869E-001,-9.356388078922509E-001,-2.597981568107391E-001,-9.362172177447120E-001,-2.596852556181792E-001,-9.357229082229658E-001,-2.605349520047511E-001,-9.356744619975717E-001,
1.115000000000000E+009,-2.683735262970919E-001,-9.331849066028961E-001,-2.676591080158721E-001,-9.337045604731499E-001,-2.674578951645020E-001,-9.332616939138603E-001,-2.683758670251757E-001,-9.331822185395490E-001,
1.120000000000000E+009,-2.763464663919377E-001,-9.310363252121263E-001,-2.755651771017036E-001,-9.315690676029794E-001,-2.754421794555691E-001,-9.310978949933825E-001,-2.763146534182315E-001,-9.310219597351520E-001,
1.125000000000000E+009,-2.838764875857394E-001,-9.285320300966723E-001,-2.830727632290035E-001,-9.290334461298839E-001,-2.829778991627432E-001,-9.285673844852798E-001,-2.838971757425316E-001,-9.285625788105510E-001,
