% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:Cap2_duto1_0_1plstc_S21,im:Cap2_duto1_0_1plstc_S21,re:Cap2_duto1_0_5plstc_S21,im:Cap2_duto1_0_5plstc_S21,re:Cap2_duto1_1plstc_S21,im:Cap2_duto1_1plstc_S21,
1.210000000000000E+009,-4.000289508015589E-001,-8.843064683179351E-001,-4.007165364779878E-001,-8.841258019816488E-001,-4.007942125337081E-001,-8.839692516237030E-001,-4.001814589783989E-001,-8.842076313196267E-001,
1.215000000000000E+009,-4.084390996204753E-001,-8.809092600369837E-001,-4.090435897724905E-001,-8.807139359154993E-001,-4.090806534151444E-001,-8.805028365522716E-001,-4.085335082287581E-001,-8.807935988300683E-001,
1.220000000000000E+009,-4.163291700440666E-001,-8.769289453356496E-001,-4.169302000575592E-001,-8.767530985638589E-001,-4.170576742154156E-001,-8.765641243486819E-001,-4.163930995821586E-001,-8.768490876141174E-001,
1.225000000000000E+009,-4.250342838316527E-001,-8.732948281998685E-001,-4.256259009277189E-001,-8.731449135466846E-001,-4.257442139919938E-001,-8.728954678166722E-001,-4.251324550723128E-001,-8.731611709881882E-001,
1.230000000000000E+009,-4.331410404712524E-001,-8.689213510592622E-001,-4.337980128534479E-001,-8.688286782523651E-001,-4.338976069854564E-001,-8.685587216328198E-001,-4.332284766218279E-001,-8.688630447388980E-001,
1.235000000000000E+009,-4.413886382499913E-001,-8.650248144180964E-001,-4.420736634589390E-001,-8.649096702081061E-001,-4.421637383278044E-001,-8.647011160856714E-001,-4.415326845925982E-001,-8.649334644973117E-001,
1.240000000000000E+009,-4.498588251453551E-001,-8.604179233030367E-001,-4.504679175752059E-001,-8.602929361303782E-001,-4.504786409697729E-001,-8.600053056267704E-001,-4.499636737345635E-001,-8.603050505619792E-001,
1.245000000000000E+009,-4.583100409225495E-001,-8.562618897810782E-001,-4.589281933299595E-001,-8.560867206337308E-001,-4.589819519384517E-001,-8.558627720745727E-001,-4.584359394447625E-001,-8.561320376070435E-001,
1.250000000000000E+009,-4.660703457835840E-001,-8.521549902385562E-001,-4.666592389212594E-001,-8.519353984711604E-001,-4.667460299710118E-001,-8.517613845759977E-001,-4.662018142591703E-001,-8.520715862880168E-001,
1.255000000000000E+009,-4.739845986408262E-001,-8.482952196847685E-001,-4.745191390583535E-001,-8.480866634281769E-001,-4.746363644167444E-001,-8.478969540165408E-001,-4.740572063522278E-001,-8.482141790595420E-001,
1.260000000000000E+009,-4.824488936420431E-001,-8.435252994238565E-001,-4.829058744639018E-001,-8.432419135774730E-001,-4.830891887373245E-001,-8.430589746828608E-001,-4.824979697403021E-001,-8.433823235052984E-001,
1.265000000000000E+009,-4.893509291673025E-001,-8.397346922931168E-001,-4.897935514416291E-001,-8.395638256109668E-001,-4.899499871323819E-001,-8.393430049297143E-001,-4.894099794769292E-001,-8.396443604535242E-001,
1.270000000000000E+009,-4.972689385630728E-001,-8.351735091619817E-001,-4.977765565643600E-001,-8.349823162554844E-001,-4.979418390224359E-001,-8.346687918870179E-001,-4.973887902414854E-001,-8.350980524341993E-001,
1.275000000000000E+009,-5.041604167162426E-001,-8.307561900712248E-001,-5.046010706664611E-001,-8.305082966320138E-001,-5.046804816465192E-001,-8.301993659678374E-001,-5.042167834396754E-001,-8.306748697425841E-001,
1.280000000000000E+009,-5.112313168018644E-001,-8.262709656361873E-001,-5.116859378375059E-001,-8.260349949294716E-001,-5.118050088973032E-001,-8.257941102486373E-001,-5.113408168545085E-001,-8.261711190280949E-001,
1.285000000000000E+009,-5.183773423258257E-001,-8.220898381210470E-001,-5.187053544487164E-001,-8.218577605440576E-001,-5.188440445371672E-001,-8.215299635187997E-001,-5.184468312140262E-001,-8.219566177608163E-001,
1.290000000000000E+009,-5.256325233865639E-001,-8.173215717128078E-001,-5.259431269474821E-001,-8.170513511136393E-001,-5.260389217479915E-001,-8.167199094124413E-001,-5.257239495991064E-001,-8.171522669771967E-001,
1.295000000000000E+009,-5.321193819703616E-001,-8.125278062962876E-001,-5.324779370015381E-001,-8.123878106085563E-001,-5.326174687189804E-001,-8.120425719694594E-001,-5.322939540130032E-001,-8.124520284822789E-001,
1.300000000000000E+009,-5.392523722633789E-001,-8.074778042673081E-001,-5.395253640079408E-001,-8.072589143765344E-001,-5.395847931243286E-001,-8.069452414353071E-001,-5.393548621669040E-001,-8.073632876311587E-001,
1.305000000000000E+009,-5.454063949650344E-001,-8.026114643048261E-001,-5.455896793789926E-001,-8.023529202550233E-001,-5.456850713767826E-001,-8.020788735255228E-001,-5.455239916988970E-001,-8.025048809803845E-001,
1.310000000000000E+009,-5.519131409884959E-001,-7.976529948120972E-001,-5.520785839646555E-001,-7.975499352442611E-001,-5.521561776073767E-001,-7.972109594864637E-001,-5.519635076879932E-001,-7.975861738432335E-001,
1.315000000000000E+009,-5.578825520062928E-001,-7.928057919469744E-001,-5.580484323249813E-001,-7.926482127807519E-001,-5.580542227557304E-001,-7.923320167224784E-001,-5.579376802774335E-001,-7.926703191825812E-001,
1.320000000000000E+009,-5.643618469202255E-001,-7.883186872178583E-001,-5.645939447078121E-001,-7.882226885439503E-001,-5.646329463341827E-001,-7.879184972521500E-001,-5.644555909510870E-001,-7.882235141188659E-001,
1.325000000000000E+009,-5.709414446992872E-001,-7.836701902394158E-001,-5.711326110473782E-001,-7.835537855717799E-001,-5.711118696519004E-001,-7.832676427702813E-001,-5.710033115849221E-001,-7.835246656441418E-001,
1.330000000000000E+009,-5.774915222183433E-001,-7.791812465926153E-001,-5.777108052409110E-001,-7.791165916643412E-001,-5.777063891273767E-001,-7.787460242991378E-001,-5.776243153207016E-001,-7.790713201397916E-001,
1.335000000000000E+009,-5.837062170002290E-001,-7.743432769073950E-001,-5.838578227242472E-001,-7.742562015238510E-001,-5.838445094731580E-001,-7.738889543508639E-001,-5.838027547713105E-001,-7.741990829498924E-001,
1.340000000000000E+009,-5.903043295568322E-001,-7.693096735454720E-001,-5.905682372935589E-001,-7.691557120449447E-001,-5.904535863888873E-001,-7.688401610314958E-001,-5.904076335644617E-001,-7.691909297941151E-001,
1.345000000000000E+009,-5.967488585249721E-001,-7.642514753954655E-001,-5.969159303795869E-001,-7.641355169628695E-001,-5.968705493566892E-001,-7.638705071334866E-001,-5.968046971311889E-001,-7.641771862229020E-001,
1.350000000000000E+009,-6.029847720393948E-001,-7.596136805027155E-001,-6.031218810488062E-001,-7.595324542202815E-001,-6.030515905913966E-001,-7.592394172773451E-001,-6.029889261088820E-001,-7.594933407276696E-001,
1.355000000000000E+009,-6.084725398299778E-001,-7.550053487354660E-001,-6.085818829649178E-001,-7.549281635062217E-001,-6.085565537569778E-001,-7.546529405548018E-001,-6.085938989703150E-001,-7.549711508798316E-001,
1.360000000000000E+009,-6.151711658186215E-001,-7.498361575836277E-001,-6.152322711512699E-001,-7.496893466498108E-001,-6.151682944068612E-001,-7.494335646273833E-001,-6.151668099169835E-001,-7.497002937822066E-001,
1.365000000000000E+009,-6.219014431826916E-001,-7.453759379082385E-001,-6.218735929366087E-001,-7.452540559639880E-001,-6.219609078631634E-001,-7.450011807212038E-001,-6.219792774583587E-001,-7.452660437034719E-001,
1.370000000000000E+009,-6.285744231301119E-001,-7.398665148674578E-001,-6.285757687920939E-001,-7.397499186133890E-001,-6.285520466849254E-001,-7.394928783640740E-001,-6.286038091771102E-001,-7.397283726692605E-001,
1.375000000000000E+009,-6.351442567683667E-001,-7.346356561735834E-001,-6.351963928684820E-001,-7.345436028349082E-001,-6.351533188344556E-001,-7.341905242200975E-001,-6.352250671311863E-001,-7.345090533111074E-001,
1.380000000000000E+009,-6.412448729412328E-001,-7.283861864097382E-001,-6.412831375679071E-001,-7.283258602833009E-001,-6.412465123178744E-001,-7.279980351603773E-001,-6.413060829374742E-001,-7.282579016464481E-001,
1.385000000000000E+009,-6.476233243835882E-001,-7.225773990397465E-001,-6.476178783794503E-001,-7.224610376376838E-001,-6.475926534177749E-001,-7.221774189811840E-001,-6.476727679706671E-001,-7.224282072218721E-001,
1.390000000000000E+009,-6.541333142017638E-001,-7.165144238933091E-001,-6.542049486760575E-001,-7.164646260358026E-001,-6.542185770968947E-001,-7.160745056165352E-001,-6.542249072038893E-001,-7.163826751778984E-001,
1.395000000000000E+009,-6.607184503897895E-001,-7.102564605324018E-001,-6.607650130526035E-001,-7.101701785001727E-001,-6.606473191455640E-001,-7.098004233660948E-001,-6.607609842384024E-001,-7.101191244524627E-001,
1.400000000000000E+009,-6.670335786725179E-001,-7.035714308477226E-001,-6.670575635548180E-001,-7.035395557261743E-001,-6.670852973078387E-001,-7.031550588014279E-001,-6.670980138424988E-001,-7.034583351539213E-001,
1.405000000000000E+009,-6.732834576379395E-001,-6.979573161208704E-001,-6.733930988975594E-001,-6.977961655103110E-001,-6.733230617789616E-001,-6.974792664868093E-001,-6.733704499128685E-001,-6.978343358064447E-001,
1.410000000000000E+009,-6.802971368844668E-001,-6.917347510179319E-001,-6.803415043285211E-001,-6.916575155197571E-001,-6.802636565485479E-001,-6.912696349513278E-001,-6.803521108803923E-001,-6.915520269689215E-001,
1.415000000000000E+009,-6.861701259510730E-001,-6.852030106155925E-001,-6.862084997946384E-001,-6.850689665409886E-001,-6.861885528282085E-001,-6.846695608216542E-001,-6.861955306741104E-001,-6.850722092356802E-001,
1.420000000000000E+009,-6.928763884393688E-001,-6.785929708782766E-001,-6.928646045401965E-001,-6.784715044645440E-001,-6.928116890646369E-001,-6.780366019735357E-001,-6.928959822038658E-001,-6.784017459662775E-001,
1.425000000000000E+009,-6.983925712956608E-001,-6.720724498553150E-001,-6.983772570863420E-001,-6.718975200663387E-001,-6.983258645257103E-001,-6.715530683901042E-001,-6.983651075500131E-001,-6.719321752048525E-001,
1.430000000000000E+009,-7.046273229443372E-001,-6.659657696094696E-001,-7.046323600527576E-001,-6.658339582310626E-001,-7.045076818070156E-001,-6.655260806484690E-001,-7.046824777414154E-001,-6.658006029254044E-001,
1.435000000000000E+009,-7.105577551259878E-001,-6.593512141717648E-001,-7.105280434844383E-001,-6.593216120971317E-001,-7.104481816748635E-001,-6.588968334411649E-001,-7.105526047802849E-001,-6.593127519744145E-001,
1.440000000000000E+009,-7.158677558383826E-001,-6.527472162167586E-001,-7.158501908093780E-001,-6.526349575263980E-001,-7.156421705133217E-001,-6.522671468303593E-001,-7.158499910204602E-001,-6.526188956303237E-001,
1.445000000000000E+009,-7.213730488745435E-001,-6.466413894188247E-001,-7.213712666934662E-001,-6.466021299852217E-001,-7.212334376803498E-001,-6.462036420982185E-001,-7.214241733315951E-001,-6.465567422420633E-001,
1.450000000000000E+009,-7.272938148725434E-001,-6.400064347577381E-001,-7.272794640282270E-001,-6.399885814485326E-001,-7.270215185860256E-001,-6.395823516422879E-001,-7.272463715106774E-001,-6.399043353058107E-001,
1.455000000000000E+009,-7.328939879682705E-001,-6.332641402813746E-001,-7.327858355439250E-001,-6.333189867105911E-001,-7.325907513881186E-001,-6.328655646939089E-001,-7.328797134279502E-001,-6.331711943006122E-001,
1.460000000000000E+009,-7.372232415448369E-001,-6.275733893248867E-001,-7.371693291400726E-001,-6.276475161840681E-001,-7.369116580009354E-001,-6.272802964448012E-001,-7.372254516805550E-001,-6.275294053609157E-001,
1.465000000000000E+009,-7.424210399530976E-001,-6.214235056409942E-001,-7.424786740417491E-001,-6.214967643706416E-001,-7.421943314419522E-001,-6.212262727734511E-001,-7.425112126183503E-001,-6.212992388565463E-001,
1.470000000000000E+009,-7.478648618109496E-001,-6.150336434891245E-001,-7.477748936782553E-001,-6.151406885108972E-001,-7.475772437433328E-001,-6.148399840829367E-001,-7.478574697449166E-001,-6.149298717818735E-001,
1.475000000000000E+009,-7.520550421763528E-001,-6.091414567092468E-001,-7.521436391921497E-001,-6.091967938579477E-001,-7.518653872026863E-001,-6.089549120989442E-001,-7.521399333872403E-001,-6.089297265123854E-001,
1.480000000000000E+009,-7.573881687408213E-001,-6.023562607563822E-001,-7.574444420789954E-001,-6.024467947454705E-001,-7.572981627806488E-001,-6.021484070206074E-001,-7.574451559645264E-001,-6.022137104837758E-001,
1.485000000000000E+009,-7.623191355818891E-001,-5.965837584815853E-001,-7.623905341538565E-001,-5.967336982535747E-001,-7.620761697849379E-001,-5.965007119471575E-001,-7.623483978405591E-001,-5.965288455352413E-001,
1.490000000000000E+009,-7.677189934324680E-001,-5.899941154130093E-001,-7.679024970108015E-001,-5.901067205107047E-001,-7.676279193920126E-001,-5.898761350840367E-001,-7.677651725784992E-001,-5.899031593346864E-001,
1.495000000000000E+009,-7.724563412016859E-001,-5.832082368292400E-001,-7.726767502567551E-001,-5.832625595892002E-001,-7.723705321528693E-001,-5.830952917196783E-001,-7.725351499629209E-001,-5.830649518339776E-001,
1.500000000000000E+009,-7.778351770352707E-001,-5.767585343734990E-001,-7.779173154345854E-001,-5.768016750207347E-001,-7.777687147293351E-001,-5.766004830425462E-001,-7.778700172252786E-001,-5.765909500484906E-001,
1.505000000000000E+009,-7.822556988442200E-001,-5.704914756362355E-001,-7.825002114522452E-001,-5.703868297115702E-001,-7.823045963347344E-001,-5.702434423891969E-001,-7.823466829465411E-001,-5.703399136326954E-001,
1.510000000000000E+009,-7.871676037371291E-001,-5.642037661630437E-001,-7.872511164659561E-001,-5.642044242224554E-001,-7.871266588676806E-001,-5.639484572582663E-001,-7.872004796368959E-001,-5.640452321551600E-001,
1.515000000000000E+009,-7.926352115733862E-001,-5.573851417406623E-001,-7.927077103292344E-001,-5.573903907365329E-001,-7.925399143779751E-001,-5.571537815762323E-001,-7.927135478417082E-001,-5.572266077920036E-001,
1.520000000000000E+009,-7.974072738757196E-001,-5.510449782706277E-001,-7.975184519634276E-001,-5.509680257643994E-001,-7.974226644494560E-001,-5.507459276995343E-001,-7.974560613601510E-001,-5.508559138450659E-001,
1.525000000000000E+009,-8.021094259971856E-001,-5.445482087052458E-001,-8.021080663314074E-001,-5.445433666611015E-001,-8.020057124762613E-001,-5.443032905996750E-001,-8.021396311478078E-001,-5.444241679595168E-001,
1.530000000000000E+009,-8.065034064116645E-001,-5.376522651742697E-001,-8.065750086124415E-001,-5.376484597858179E-001,-8.063825829990903E-001,-5.373436996610896E-001,-8.065378735160951E-001,-5.374792494314420E-001,
1.535000000000000E+009,-8.109603837670382E-001,-5.308605547448508E-001,-8.109642586663659E-001,-5.308318037814500E-001,-8.108742419071756E-001,-5.304816690850929E-001,-8.110031869549610E-001,-5.307226922049507E-001,
1.540000000000000E+009,-8.151339249609205E-001,-5.244428991077546E-001,-8.150969938752881E-001,-5.244311852316097E-001,-8.148858864773330E-001,-5.240110450616170E-001,-8.151229795773154E-001,-5.242924871189866E-001,
1.545000000000000E+009,-8.193701179987565E-001,-5.172472920263431E-001,-8.193246289052221E-001,-5.172277020586720E-001,-8.190198773564688E-001,-5.168575079066384E-001,-8.193951400055300E-001,-5.171187338746975E-001,
1.550000000000000E+009,-8.231734754608782E-001,-5.104990727367382E-001,-8.230578191318333E-001,-5.105071458505405E-001,-8.227379206294369E-001,-5.101036231485309E-001,-8.232000767828951E-001,-5.102609483333259E-001,
1.555000000000000E+009,-8.271351335847149E-001,-5.034868654994402E-001,-8.270257530475400E-001,-5.035669482092430E-001,-8.265971342843312E-001,-5.030725084136983E-001,-8.271271808311894E-001,-5.033845683791195E-001,
1.560000000000000E+009,-8.309988331752602E-001,-4.961550945939233E-001,-8.308277539902320E-001,-4.961971109002122E-001,-8.303013105817086E-001,-4.957658942704029E-001,-8.310112699176495E-001,-4.960162283184049E-001,
1.565000000000000E+009,-8.351214453204994E-001,-4.883950138434963E-001,-8.349587321393797E-001,-4.884718618355870E-001,-8.343343644486994E-001,-4.880629912142628E-001,-8.351098687529520E-001,-4.882717544417976E-001,
1.570000000000000E+009,-8.389543214904727E-001,-4.808129947271839E-001,-8.386920139153474E-001,-4.808891211974818E-001,-8.380054232116572E-001,-4.805144692783486E-001,-8.389794192180335E-001,-4.806771237357604E-001,
1.575000000000000E+009,-8.423587732980890E-001,-4.734109779216880E-001,-8.420613058839774E-001,-4.734919387307159E-001,-8.412698097200735E-001,-4.732135747169352E-001,-8.424323792282300E-001,-4.732726509858374E-001,
1.580000000000000E+009,-8.455268866269192E-001,-4.658633397846915E-001,-8.451799937376577E-001,-4.660218672458545E-001,-8.442589634869149E-001,-4.658572395833513E-001,-8.456121342802949E-001,-4.657688684670193E-001,
