% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:ag_S21,im:ag_S21,re:pl_0_1_S21,im:pl_0_1_S21,re:pl_0_5_S21,im:pl_0_5_S21,
1.165000000000000E+009,-3.529626429080963E-001,-9.112471938133240E-001,-3.525350285184318E-001,-9.112136614775027E-001,-3.526786863803864E-001,-9.112558960914612E-001,-3.529577403259278E-001,-9.112924006462100E-001,
1.170000000000000E+009,-3.611530363559723E-001,-9.082909822463989E-001,-3.608056500744586E-001,-9.082558742616447E-001,-3.610242605209351E-001,-9.083269834518433E-001,-3.612409952354432E-001,-9.082833074951173E-001,
1.175000000000000E+009,-3.692624866962433E-001,-9.055339097976685E-001,-3.688769869182946E-001,-9.054269896182710E-001,-3.690522909164429E-001,-9.054403901100159E-001,-3.692681524562836E-001,-9.054284730339053E-001,
1.180000000000000E+009,-3.774707317352295E-001,-9.026044011116028E-001,-3.769857397669862E-001,-9.024458834262761E-001,-3.772682249546051E-001,-9.025030136108398E-001,-3.773217796707155E-001,-9.024398042488100E-001,
1.185000000000000E+009,-3.854718804359436E-001,-8.993842601776123E-001,-3.849829564266191E-001,-8.993447771263076E-001,-3.852206468582153E-001,-8.994063138961792E-001,-3.853663094139100E-001,-8.993295693588259E-001,
1.190000000000000E+009,-3.930707871913910E-001,-8.960486054420471E-001,-3.925513380359180E-001,-8.959447540222212E-001,-3.928028941154480E-001,-8.960054516792297E-001,-3.928739080619813E-001,-8.959538587379459E-001,
1.195000000000000E+009,-4.005955159664154E-001,-8.927203416824341E-001,-4.001275757654796E-001,-8.926589352936246E-001,-4.004365503787994E-001,-8.925222754478455E-001,-4.004395587825775E-001,-8.926457520103456E-001,
1.200000000000000E+009,-4.082691073417664E-001,-8.895255923271179E-001,-4.077418433145408E-001,-8.894741465003092E-001,-4.079817533493042E-001,-8.894689679145813E-001,-4.080738617801667E-001,-8.894974371910097E-001,
1.205000000000000E+009,-4.160870909690857E-001,-8.863514661788940E-001,-4.154676882851870E-001,-8.862852423908769E-001,-4.156493842601776E-001,-8.862801790237427E-001,-4.158436310291292E-001,-8.862877127265931E-001,
1.210000000000000E+009,-4.239816665649414E-001,-8.827582597732544E-001,-4.234131709433544E-001,-8.827296475753232E-001,-4.235120713710785E-001,-8.827030062675476E-001,-4.238196241855622E-001,-8.827158038520815E-001,
1.215000000000000E+009,-4.319271743297577E-001,-8.793360590934753E-001,-4.314905686344496E-001,-8.792235500517931E-001,-4.315380454063416E-001,-8.791825771331787E-001,-4.318870500278474E-001,-8.792732316398623E-001,
1.220000000000000E+009,-4.400917291641235E-001,-8.753032684326172E-001,-4.393666096280847E-001,-8.753222594316552E-001,-4.394966363906860E-001,-8.753910064697266E-001,-4.397985312461854E-001,-8.752870370864869E-001,
1.225000000000000E+009,-4.480962157249451E-001,-8.713443279266357E-001,-4.472357199536702E-001,-8.714540827981473E-001,-4.474488198757172E-001,-8.714469671249390E-001,-4.476395954418184E-001,-8.714372929191592E-001,
1.230000000000000E+009,-4.563996195793152E-001,-8.672429323196411E-001,-4.554760763728524E-001,-8.671464315037977E-001,-4.557500481605530E-001,-8.672646284103394E-001,-4.558936860656739E-001,-8.671376602554324E-001,
1.235000000000000E+009,-4.641743004322052E-001,-8.627947568893433E-001,-4.633948721680914E-001,-8.627871013546841E-001,-4.635073542594910E-001,-8.628737330436707E-001,-4.638481602764131E-001,-8.627908459091188E-001,
1.240000000000000E+009,-4.723298549652100E-001,-8.582552075386047E-001,-4.713970141223739E-001,-8.582703944447911E-001,-4.715600907802582E-001,-8.582322597503662E-001,-4.718969228172303E-001,-8.582333335876468E-001,
1.245000000000000E+009,-4.803669154644013E-001,-8.539537191390991E-001,-4.795073382015004E-001,-8.541232007517513E-001,-4.795521199703217E-001,-8.541279435157776E-001,-4.799024686622621E-001,-8.540402323722842E-001,
1.250000000000000E+009,-4.878871440887451E-001,-8.494582176208496E-001,-4.871209013385062E-001,-8.494852031150620E-001,-4.873282909393311E-001,-8.495049476623535E-001,-4.875849915409089E-001,-8.493972060585023E-001,
1.255000000000000E+009,-4.955867826938629E-001,-8.449469208717346E-001,-4.946654069123440E-001,-8.451452065687015E-001,-4.949062168598175E-001,-8.451315760612488E-001,-4.951281893062592E-001,-8.450755625534059E-001,
1.260000000000000E+009,-5.030747652053833E-001,-8.405494093894959E-001,-5.021441006664706E-001,-8.406429390736133E-001,-5.022614598274231E-001,-8.405273556709290E-001,-5.026030525588990E-001,-8.405247415542605E-001,
1.265000000000000E+009,-5.101804137229919E-001,-8.357033729553223E-001,-5.092894263040393E-001,-8.359489265545343E-001,-5.094385147094727E-001,-8.358837962150574E-001,-5.096726058387757E-001,-8.357822214508058E-001,
1.270000000000000E+009,-5.167331695556641E-001,-8.315903544425964E-001,-5.159178347510995E-001,-8.316410163596011E-001,-5.160183906555176E-001,-8.317080140113831E-001,-5.163110626983644E-001,-8.315618396759035E-001,
1.275000000000000E+009,-5.235418081283569E-001,-8.269003033638001E-001,-5.225792619930575E-001,-8.268646686815999E-001,-5.225386023521423E-001,-8.268112540245056E-001,-5.229356115913392E-001,-8.268118231773378E-001,
1.280000000000000E+009,-5.300760865211487E-001,-8.223730325698853E-001,-5.291552146258027E-001,-8.225674131976505E-001,-5.293307304382324E-001,-8.226392865180969E-001,-5.295029845046997E-001,-8.224573422431948E-001,
1.285000000000000E+009,-5.362526774406433E-001,-8.180102109909058E-001,-5.352953827378533E-001,-8.181990418313820E-001,-5.353597402572632E-001,-8.182581663131714E-001,-5.356855195617677E-001,-8.180860354232791E-001,
1.290000000000000E+009,-5.427786111831665E-001,-8.131254315376282E-001,-5.420297359204095E-001,-8.134374544149354E-001,-5.420746803283691E-001,-8.133919835090637E-001,-5.423271945381165E-001,-8.133990001106264E-001,
1.295000000000000E+009,-5.493702292442322E-001,-8.086178898811340E-001,-5.484161700223824E-001,-8.087026411474689E-001,-5.484127998352051E-001,-8.087615370750427E-001,-5.487215749740602E-001,-8.086439056587220E-001,
1.300000000000000E+009,-5.550336837768555E-001,-8.037822842597961E-001,-5.542629430078340E-001,-8.038880711767658E-001,-5.546287298202515E-001,-8.039289712905884E-001,-5.546017203712463E-001,-8.037295531654360E-001,
1.305000000000000E+009,-5.612120628356934E-001,-7.988364100456238E-001,-5.604011282485205E-001,-7.990884135936224E-001,-5.606752038002014E-001,-7.992118000984192E-001,-5.606946448898317E-001,-7.990036323356631E-001,
1.310000000000000E+009,-5.669996738433838E-001,-7.944183945655823E-001,-5.662508760830710E-001,-7.944587252568007E-001,-5.665321946144104E-001,-7.944229841232300E-001,-5.666239299964906E-001,-7.944216258049014E-001,
1.315000000000000E+009,-5.731544494628906E-001,-7.900103926658630E-001,-5.722725563429347E-001,-7.900984997819209E-001,-5.724911689758301E-001,-7.899444103240967E-001,-5.725935222625732E-001,-7.900078882408144E-001,
1.320000000000000E+009,-5.792453289031982E-001,-7.855064272880554E-001,-5.786087965083666E-001,-7.857089415701506E-001,-5.787258148193359E-001,-7.856121063232422E-001,-5.788498897171022E-001,-7.856568385696414E-001,
1.325000000000000E+009,-5.856391191482544E-001,-7.811473011970520E-001,-5.849946450828998E-001,-7.813310814927945E-001,-5.850899219512940E-001,-7.811713814735413E-001,-5.852625797271730E-001,-7.812404051971438E-001,
1.330000000000000E+009,-5.924125909805298E-001,-7.764800190925598E-001,-5.918120174836150E-001,-7.766546936504263E-001,-5.919938087463379E-001,-7.766557931900024E-001,-5.920659044075013E-001,-7.766461360931399E-001,
1.335000000000000E+009,-5.985474586486816E-001,-7.716064453125000E-001,-5.978754539694746E-001,-7.717528304726787E-001,-5.980386734008789E-001,-7.718185782432556E-001,-5.981641286849977E-001,-7.717233057975771E-001,
1.340000000000000E+009,-6.045774221420288E-001,-7.666997909545898E-001,-6.042027355182322E-001,-7.669794630356800E-001,-6.044054031372070E-001,-7.668221592903137E-001,-6.045759678649905E-001,-7.668320019721986E-001,
1.345000000000000E+009,-6.110314130783081E-001,-7.617284655570984E-001,-6.103198884704236E-001,-7.619507114941054E-001,-6.105562448501587E-001,-7.618884444236755E-001,-6.105826994514466E-001,-7.618629995918276E-001,
1.350000000000000E+009,-6.169517040252686E-001,-7.566702961921692E-001,-6.163560359427394E-001,-7.568730638904822E-001,-6.165360808372498E-001,-7.566884756088257E-001,-6.166483173179628E-001,-7.567535684394839E-001,
1.355000000000000E+009,-6.229917407035828E-001,-7.516238689422607E-001,-6.225380998173111E-001,-7.518510192492764E-001,-6.225005984306335E-001,-7.517490386962891E-001,-6.227956551361085E-001,-7.517348512840272E-001,
1.360000000000000E+009,-6.293552517890930E-001,-7.467087507247925E-001,-6.289941528849292E-001,-7.468349286621185E-001,-6.290666460990906E-001,-7.468335628509522E-001,-6.292710996818544E-001,-7.467424859237672E-001,
1.365000000000000E+009,-6.358330845832825E-001,-7.415828108787537E-001,-6.351386390038637E-001,-7.417475357848136E-001,-6.352015733718872E-001,-7.416963577270508E-001,-6.354730073356629E-001,-7.416530309104921E-001,
1.370000000000000E+009,-6.422424316406250E-001,-7.363388538360596E-001,-6.419037225657996E-001,-7.364852668359623E-001,-6.419903039932251E-001,-7.367140650749207E-001,-6.420906378555300E-001,-7.364809764480593E-001,
1.375000000000000E+009,-6.484584212303162E-001,-7.308925986289978E-001,-6.481103944285286E-001,-7.310636158263744E-001,-6.482374668121338E-001,-7.310896515846252E-001,-6.482665109443666E-001,-7.309795896339418E-001,
1.380000000000000E+009,-6.551151275634766E-001,-7.252097129821777E-001,-6.545496780401544E-001,-7.253070829200229E-001,-6.546766161918640E-001,-7.253750562667847E-001,-6.548207174301147E-001,-7.252662194061280E-001,
1.385000000000000E+009,-6.614102721214294E-001,-7.187617421150208E-001,-6.609620313446858E-001,-7.189626841177341E-001,-6.611257791519165E-001,-7.190045714378357E-001,-6.612193335342409E-001,-7.188622640419007E-001,
1.390000000000000E+009,-6.676818728446960E-001,-7.124471664428711E-001,-6.672097179190012E-001,-7.127530761498810E-001,-6.672632694244385E-001,-7.128236293792725E-001,-6.674681402397157E-001,-7.126917869758608E-001,
1.395000000000000E+009,-6.740693449974060E-001,-7.062767148017883E-001,-6.735153000321605E-001,-7.065514186934048E-001,-6.735851764678955E-001,-7.065811753273010E-001,-6.737098430061341E-001,-7.064230668449403E-001,
1.400000000000000E+009,-6.803441643714905E-001,-6.999683976173401E-001,-6.797741408267689E-001,-7.003258057601902E-001,-6.799822449684143E-001,-7.001970410346985E-001,-6.800078553009035E-001,-7.001252533149720E-001,
1.405000000000000E+009,-6.866014599800110E-001,-6.933164000511169E-001,-6.859838129943896E-001,-6.936591299465702E-001,-6.860435605049133E-001,-6.935318708419800E-001,-6.863248446846010E-001,-6.936178975677492E-001,
1.410000000000000E+009,-6.929919719696045E-001,-6.869798302650452E-001,-6.923313113283852E-001,-6.873808510683860E-001,-6.924443840980530E-001,-6.873891353607178E-001,-6.926575756073000E-001,-6.873283969879152E-001,
1.415000000000000E+009,-6.991673111915588E-001,-6.808386445045471E-001,-6.984250327197834E-001,-6.811790770593638E-001,-6.984404921531677E-001,-6.812459230422974E-001,-6.987259833908082E-001,-6.810355917167665E-001,
1.420000000000000E+009,-7.048703432083130E-001,-6.742075085639954E-001,-7.042778774843477E-001,-6.747650344868510E-001,-7.044795155525208E-001,-6.745539903640747E-001,-7.046396183586122E-001,-6.746448797798159E-001,
1.425000000000000E+009,-7.111887931823731E-001,-6.679221391677856E-001,-7.104352057932085E-001,-6.682923401291423E-001,-7.104496955871582E-001,-6.681999564170837E-001,-7.107567764282228E-001,-6.681465297698975E-001,
1.430000000000000E+009,-7.164724469184876E-001,-6.616504788398743E-001,-7.157784451347118E-001,-6.620949616553646E-001,-7.160437703132629E-001,-6.620935201644898E-001,-7.161601974487304E-001,-6.619458953475954E-001,
1.435000000000000E+009,-7.218449115753174E-001,-6.547813415527344E-001,-7.210374169529502E-001,-6.553273066101855E-001,-7.212930321693420E-001,-6.553581357002258E-001,-7.214421059608461E-001,-6.551503623962403E-001,
