% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:ag_S21,im:ag_S21,re:pl_0_1_S21,im:pl_0_1_S21,re:pl_0_5_S21,im:pl_0_5_S21,re:Mem17[Trc13]_S21,im:Mem17[Trc13]_S21,
1.100000000000000E+009,-2.508570901942597E-001,-9.461449328898867E-001,-2.506652604722831E-001,-9.458768915161213E-001,-2.509366273880005E-001,-9.460136294364929E-001,-2.510634083366394E-001,-9.459356969833376E-001,-2.508737745285035E-001,-9.462000273704530E-001,
1.105000000000000E+009,-2.590369539591798E-001,-9.438727056542910E-001,-2.588491049316848E-001,-9.436815151408816E-001,-2.590603530406952E-001,-9.437500834465027E-001,-2.591628486347199E-001,-9.436849302291872E-001,-2.590523547649384E-001,-9.438646525382999E-001,
1.110000000000000E+009,-2.669601853204895E-001,-9.410749964020448E-001,-2.667010259090640E-001,-9.409029464997281E-001,-2.671240866184235E-001,-9.408578276634216E-001,-2.670615234565736E-001,-9.409427739524844E-001,-2.670391587257386E-001,-9.410999289512636E-001,
1.115000000000000E+009,-2.748820560444031E-001,-9.381614047453249E-001,-2.746460831407656E-001,-9.379815645292370E-001,-2.750402688980103E-001,-9.380246400833130E-001,-2.750605040073395E-001,-9.380342043113710E-001,-2.749175086021424E-001,-9.381873768806459E-001,
1.120000000000000E+009,-2.826272877412781E-001,-9.352160254008182E-001,-2.823559899061956E-001,-9.350203562271680E-001,-2.824822366237640E-001,-9.351295828819275E-001,-2.826524553298951E-001,-9.350847887039187E-001,-2.826510892868042E-001,-9.352278490066529E-001,
1.125000000000000E+009,-2.902890917417419E-001,-9.328036484768069E-001,-2.900404471655412E-001,-9.327738681061447E-001,-2.903229594230652E-001,-9.327768087387085E-001,-2.903890818977357E-001,-9.327464583206179E-001,-2.902698304176331E-001,-9.327764525413516E-001,
1.130000000000000E+009,-2.979392509621339E-001,-9.305010589633791E-001,-2.977048876452282E-001,-9.304058815872397E-001,-2.978786826133728E-001,-9.303899407386780E-001,-2.980441170978546E-001,-9.304182565689088E-001,-2.979645243644715E-001,-9.304725036621095E-001,
1.135000000000000E+009,-3.057934388975404E-001,-9.279877121328249E-001,-3.055694034053759E-001,-9.277795758768588E-001,-3.057019114494324E-001,-9.277878999710083E-001,-3.058618643951417E-001,-9.278542454147341E-001,-3.057985294342042E-001,-9.279150630950930E-001,
1.140000000000000E+009,-3.133592601527681E-001,-9.253224549143313E-001,-3.131671125946982E-001,-9.252403923534019E-001,-3.133358657360077E-001,-9.252468347549439E-001,-3.134228343391419E-001,-9.252444873237611E-001,-3.133586813926698E-001,-9.253297146797183E-001,
1.145000000000000E+009,-3.211904175105317E-001,-9.226358262516238E-001,-3.209847515194648E-001,-9.226166966651376E-001,-3.210878968238831E-001,-9.227818250656128E-001,-3.212677867031098E-001,-9.226632599830629E-001,-3.211805119991303E-001,-9.227380581855775E-001,
1.150000000000000E+009,-3.286358638838105E-001,-9.196175768571231E-001,-3.283980878184025E-001,-9.195118546196051E-001,-3.286149203777313E-001,-9.195184707641602E-001,-3.287044876384735E-001,-9.195469966125491E-001,-3.286836818218232E-001,-9.195756007194520E-001,
1.155000000000000E+009,-3.366112425031067E-001,-9.169182154769533E-001,-3.363180496487467E-001,-9.168077183780095E-001,-3.365887403488159E-001,-9.166882634162903E-001,-3.366482832050324E-001,-9.168155850410464E-001,-3.365842179298401E-001,-9.169355310440064E-001,
