% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:cap2_p2_0_1_plstc_S21,im:cap2_p2_0_1_plstc_S21,re:cap2_p2_1_plstc_S21,im:cap2_p2_1_plstc_S21,re:Mem17[Trc13]_S21,im:Mem17[Trc13]_S21,
1.160000000000000E+009,-3.450339871536293E-001,-9.143617295404155E-001,-3.441863819286686E-001,-9.155091200055436E-001,-3.445597641512124E-001,-9.145785683754349E-001,-3.450226366519928E-001,-9.144158053398133E-001,
1.165000000000000E+009,-3.531479012270401E-001,-9.113727070466310E-001,-3.522770762384547E-001,-9.125599184856894E-001,-3.527483816305899E-001,-9.115723332979056E-001,-3.531181466579437E-001,-9.114714479446413E-001,
1.170000000000000E+009,-3.613903101896490E-001,-9.084359881583393E-001,-3.604996162798951E-001,-9.095655914295757E-001,-3.610543515319574E-001,-9.085861399011516E-001,-3.613899159431458E-001,-9.083755278587343E-001,
1.175000000000000E+009,-3.695563960597211E-001,-9.055689698225243E-001,-3.686413663975563E-001,-9.067713363194186E-001,-3.691794070659143E-001,-9.057661321208925E-001,-3.696123266220093E-001,-9.056569218635561E-001,
1.180000000000000E+009,-3.776352342855729E-001,-9.024987099223396E-001,-3.767652986071679E-001,-9.037441563410336E-001,-3.773143552519748E-001,-9.026803639615333E-001,-3.777166700363160E-001,-9.025536918640138E-001,
1.185000000000000E+009,-3.857434110505495E-001,-8.994395086358900E-001,-3.847960912611841E-001,-9.006914879864176E-001,-3.852895128585184E-001,-8.996619401252891E-001,-3.857555413246155E-001,-8.994636869430543E-001,
1.190000000000000E+009,-3.933096892660116E-001,-8.959970878288505E-001,-3.924087425656485E-001,-8.973199320380861E-001,-3.929202567978977E-001,-8.962251028510896E-001,-3.932962751388551E-001,-8.961173248291017E-001,
1.195000000000000E+009,-4.008938532209024E-001,-8.926585518436898E-001,-3.999914890447128E-001,-8.939787424507953E-001,-4.005412613094315E-001,-8.929137638712156E-001,-4.008918619155885E-001,-8.927530884742738E-001,
1.200000000000000E+009,-4.085976726987424E-001,-8.895320710345835E-001,-4.077344631992746E-001,-8.908351556738295E-001,-4.082408022444047E-001,-8.897676051988414E-001,-4.086693942546845E-001,-8.896335077285769E-001,
1.205000000000000E+009,-4.164582330777095E-001,-8.863155991865916E-001,-4.154525461749961E-001,-8.875577565524577E-001,-4.160433907260751E-001,-8.864787805510500E-001,-4.164691877365113E-001,-8.862999892234803E-001,
1.210000000000000E+009,-4.244454244658658E-001,-8.826636963517383E-001,-4.235265952470463E-001,-8.840532188799426E-001,-4.240392850200237E-001,-8.829247222223586E-001,-4.244986820220948E-001,-8.827161836624147E-001,
1.215000000000000E+009,-4.324983761272210E-001,-8.791607656899414E-001,-4.315869447338428E-001,-8.805256300271822E-001,-4.321204191423714E-001,-8.794226673095315E-001,-4.325456893444062E-001,-8.791759848594666E-001,
1.220000000000000E+009,-4.404382825058018E-001,-8.751552230306789E-001,-4.395041027073592E-001,-8.766201342018588E-001,-4.401135179108775E-001,-8.754867928339949E-001,-4.404868590831758E-001,-8.752363085746765E-001,
1.225000000000000E+009,-4.483376531301515E-001,-8.712947073169268E-001,-4.473862295084164E-001,-8.727288862445696E-001,-4.479826187922852E-001,-8.715559939853705E-001,-4.483814668655396E-001,-8.712775492668152E-001,
1.230000000000000E+009,-4.566405841922190E-001,-8.670121879881683E-001,-4.556634059523139E-001,-8.684352099741974E-001,-4.562800345166614E-001,-8.672782211459877E-001,-4.567042374610901E-001,-8.670519661903382E-001,
1.235000000000000E+009,-4.646552566496234E-001,-8.626091511605381E-001,-4.636808369967873E-001,-8.641023840890829E-001,-4.643132704019729E-001,-8.628861208670465E-001,-4.647041642665864E-001,-8.627074885368349E-001,
1.240000000000000E+009,-4.727065161319977E-001,-8.580998938018496E-001,-4.716828891790886E-001,-8.596462563996433E-001,-4.723487724789396E-001,-8.583761763732301E-001,-4.727587234973908E-001,-8.581708145141603E-001,
1.245000000000000E+009,-4.808471370898039E-001,-8.539222803570372E-001,-4.797682315741027E-001,-8.554534059952099E-001,-4.805023047025675E-001,-8.541873380881382E-001,-4.808861994743348E-001,-8.539947009086611E-001,
1.250000000000000E+009,-4.884876861981966E-001,-8.492496065176898E-001,-4.874039980086274E-001,-8.507521438488843E-001,-4.881733736885016E-001,-8.495458593042230E-001,-4.885593307018281E-001,-8.492930316925049E-001,
1.255000000000000E+009,-4.961033004910810E-001,-8.449196927012200E-001,-4.950005509484244E-001,-8.464655265906738E-001,-4.957878102066209E-001,-8.451970417324238E-001,-4.961354970932008E-001,-8.449585151672363E-001,
1.260000000000000E+009,-5.035720639868447E-001,-8.403737493320067E-001,-5.025267946065104E-001,-8.419456590995854E-001,-5.032616433084687E-001,-8.406766532221655E-001,-5.036528801918030E-001,-8.404633378982546E-001,
1.265000000000000E+009,-5.106654432729190E-001,-8.356057060136517E-001,-5.096714527545345E-001,-8.371941975559081E-001,-5.103562576196196E-001,-8.359560501310932E-001,-5.106862282752991E-001,-8.356954503059388E-001,
1.270000000000000E+009,-5.173149469169891E-001,-8.313216452058259E-001,-5.162449060683871E-001,-8.328558890540098E-001,-5.169869760666288E-001,-8.315969140310017E-001,-5.173176145553589E-001,-8.314168190956117E-001,
