% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:cap2_p2_0_1_plstc_S21,im:cap2_p2_0_1_plstc_S21,re:cap2_p2_0_5_plstc_S21,im:cap2_p2_0_5_plstc_S21,re:cap2_p2_1_plstc_S21,im:cap2_p2_1_plstc_S21,
1.170000000000000E+009,-3.609921019563879E-001,-9.086186873246359E-001,-3.604996162798951E-001,-9.095655914295757E-001,-3.610002451370091E-001,-9.090366313054381E-001,-3.610543515319574E-001,-9.085861399011516E-001,
1.175000000000000E+009,-3.691967278090808E-001,-9.057823648857404E-001,-3.686413663975563E-001,-9.067713363194186E-001,-3.691725690564147E-001,-9.062075913182700E-001,-3.691794070659143E-001,-9.057661321208925E-001,
1.180000000000000E+009,-3.773191129004230E-001,-9.027239297779899E-001,-3.767652986071679E-001,-9.037441563410336E-001,-3.772491807736499E-001,-9.031629931962942E-001,-3.773143552519748E-001,-9.026803639615333E-001,
1.185000000000000E+009,-3.853411277993169E-001,-8.996895219760034E-001,-3.847960912611841E-001,-9.006914879864176E-001,-3.853063165148168E-001,-9.001137326668929E-001,-3.852895128585184E-001,-8.996619401252891E-001,
1.190000000000000E+009,-3.929273814063667E-001,-8.962067747700122E-001,-3.924087425656485E-001,-8.973199320380861E-001,-3.929325990143453E-001,-8.967413089063892E-001,-3.929202567978977E-001,-8.962251028510896E-001,
1.195000000000000E+009,-4.005621141470085E-001,-8.928987174978007E-001,-3.999914890447128E-001,-8.939787424507953E-001,-4.004872993300085E-001,-8.934201879230811E-001,-4.005412613094315E-001,-8.929137638712156E-001,
1.200000000000000E+009,-4.082057652193675E-001,-8.897973547778716E-001,-4.077344631992746E-001,-8.908351556738295E-001,-4.082342880756950E-001,-8.902603450394090E-001,-4.082408022444047E-001,-8.897676051988414E-001,
1.205000000000000E+009,-4.160487241299374E-001,-8.864850157092084E-001,-4.154525461749961E-001,-8.875577565524577E-001,-4.160348100649174E-001,-8.869681218695413E-001,-4.160433907260751E-001,-8.864787805510500E-001,
1.210000000000000E+009,-4.240378306434408E-001,-8.829324347895906E-001,-4.235265952470463E-001,-8.840532188799426E-001,-4.241557422565150E-001,-8.834338040590398E-001,-4.240392850200237E-001,-8.829247222223586E-001,
1.215000000000000E+009,-4.321069181454232E-001,-8.794284162431530E-001,-4.315869447338428E-001,-8.805256300271822E-001,-4.321873285862409E-001,-8.799254413229524E-001,-4.321204191423714E-001,-8.794226673095315E-001,
1.220000000000000E+009,-4.400808749833656E-001,-8.754635535806167E-001,-4.395041027073592E-001,-8.766201342018588E-001,-4.400693802461974E-001,-8.759374157699826E-001,-4.401135179108775E-001,-8.754867928339949E-001,
1.225000000000000E+009,-4.479677170943811E-001,-8.715492489841097E-001,-4.473862295084164E-001,-8.727288862445696E-001,-4.479812365518471E-001,-8.720531360104191E-001,-4.479826187922852E-001,-8.715559939853705E-001,
1.230000000000000E+009,-4.562540561981043E-001,-8.673499369239502E-001,-4.556634059523139E-001,-8.684352099741974E-001,-4.562493681845045E-001,-8.677005346624369E-001,-4.562800345166614E-001,-8.672782211459877E-001,
1.235000000000000E+009,-4.643084490395072E-001,-8.629277908711041E-001,-4.636808369967873E-001,-8.641023840890829E-001,-4.642719174121400E-001,-8.634156137415565E-001,-4.643132704019729E-001,-8.628861208670465E-001,
1.240000000000000E+009,-4.723812586215646E-001,-8.583977030734530E-001,-4.716828891790886E-001,-8.596462563996433E-001,-4.723303982311642E-001,-8.588380952089585E-001,-4.723487724789396E-001,-8.583761763732301E-001,
1.245000000000000E+009,-4.805368237137248E-001,-8.542114372062418E-001,-4.797682315741027E-001,-8.554534059952099E-001,-4.804044873153106E-001,-8.546912759615827E-001,-4.805023047025675E-001,-8.541873380881382E-001,
1.250000000000000E+009,-4.881938557687027E-001,-8.495405940602212E-001,-4.874039980086274E-001,-8.507521438488843E-001,-4.881191156224418E-001,-8.500083541910936E-001,-4.881733736885016E-001,-8.495458593042230E-001,
1.255000000000000E+009,-4.957958145870067E-001,-8.452189092268321E-001,-4.950005509484244E-001,-8.464655265906738E-001,-4.956667839783189E-001,-8.456935652591378E-001,-4.957878102066209E-001,-8.451970417324238E-001,
1.260000000000000E+009,-5.032842216534267E-001,-8.406745776201059E-001,-5.025267946065104E-001,-8.419456590995854E-001,-5.031853570905895E-001,-8.411646389699219E-001,-5.032616433084687E-001,-8.406766532221655E-001,
1.265000000000000E+009,-5.103546553563076E-001,-8.359571477892738E-001,-5.096714527545345E-001,-8.371941975559081E-001,-5.102716404084328E-001,-8.364741436936988E-001,-5.103562576196196E-001,-8.359560501310932E-001,
