% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:cap2_p2_0_1_plstc_S21,im:cap2_p2_0_1_plstc_S21,re:cap2_p2_1_plstc_S21,im:cap2_p2_1_plstc_S21,re:cap2_p2_0_5_plstc_S21,im:cap2_p2_0_5_plstc_S21,
1.115000000000000E+009,-1.935728936762957E-001,-9.388767768002597E-001,-2.743318223394580E-001,-9.393506549079727E-001,-2.746427701279452E-001,-9.384613300213351E-001,-2.750143325328827E-001,-9.383902788162232E-001,
1.120000000000000E+009,-2.106766498828808E-001,-9.377606905262622E-001,-2.820414307643207E-001,-9.363016222778869E-001,-2.822521959490304E-001,-9.354770130497155E-001,-2.826674878597260E-001,-9.353815722465516E-001,
1.125000000000000E+009,-2.258040670215376E-001,-9.365270085756426E-001,-2.896927912254403E-001,-9.338681649393942E-001,-2.899516525380071E-001,-9.330943207497567E-001,-2.904218542575837E-001,-9.328762459754945E-001,
1.130000000000000E+009,-2.394857832656588E-001,-9.349434171190609E-001,-2.973040475466546E-001,-9.314923959653538E-001,-2.975753248382453E-001,-9.306935334637912E-001,-2.980626726150513E-001,-9.305771827697755E-001,
1.135000000000000E+009,-2.522943740805627E-001,-9.330544539631573E-001,-3.050580307146912E-001,-9.289918282693870E-001,-3.054302608822150E-001,-9.281506538866606E-001,-3.058370769023895E-001,-9.279893183708192E-001,
1.140000000000000E+009,-2.640810895189996E-001,-9.308846452942998E-001,-3.126317962119015E-001,-9.264118733833731E-001,-3.129995623737653E-001,-9.255554471658241E-001,-3.134330368041992E-001,-9.254339122772217E-001,
1.145000000000000E+009,-2.754288025133808E-001,-9.286706072026078E-001,-3.204814348878284E-001,-9.239418798061032E-001,-3.208506244611088E-001,-9.230390260289701E-001,-3.212456524372102E-001,-9.228699707984925E-001,
1.150000000000000E+009,-2.860440861074850E-001,-9.258549680294450E-001,-3.279923559529141E-001,-9.208450507697141E-001,-3.283850738554276E-001,-9.198631852430846E-001,-3.287403571605683E-001,-9.196903061866761E-001,
1.155000000000000E+009,-2.967859109138686E-001,-9.233316516695611E-001,-3.359699057450531E-001,-9.181667628798214E-001,-3.364180989495363E-001,-9.172068627083470E-001,-3.368273425102234E-001,-9.171045970916749E-001,
1.160000000000000E+009,-3.072812143823194E-001,-9.208693922469848E-001,-3.441863819286686E-001,-9.155091200055436E-001,-3.445597641512124E-001,-9.145785683754349E-001,-3.450226366519928E-001,-9.144158053398133E-001,
