% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:cap1_p1_0_1plstc_S21,im:cap1_p1_0_1plstc_S21,re:cap1_p1_0_5plstc_S21,im:cap1_p1_0_5plstc_S21,re:cap1_p1_0_75_plstc_S21,im:cap1_p1_0_75_plstc_S21,re:cap1_p1_1_plstc_S21,im:cap1_p1_1_plstc_S21,
1.050000000000000E+009,-1.659929617491931E-001,-9.582598687211272E-001,-1.662573929845401E-001,-9.628883098170828E-001,-1.660361207759186E-001,-9.616593826029481E-001,-1.652847533508851E-001,-9.562311443624392E-001,-1.659018461704254E-001,-9.581977710723878E-001,
1.055000000000000E+009,-1.735414423993547E-001,-9.575421923338170E-001,-1.738764723174238E-001,-9.622758049828946E-001,-1.736771611289932E-001,-9.610189521155752E-001,-1.728789854029206E-001,-9.555015568999271E-001,-1.734611885547638E-001,-9.575066494941712E-001,
1.060000000000000E+009,-1.814794165517477E-001,-9.563897716126650E-001,-1.819201579511181E-001,-9.611843270736650E-001,-1.816339617354130E-001,-9.599196038561463E-001,-1.808394561524582E-001,-9.542954176349979E-001,-1.814202697277070E-001,-9.563970127105714E-001,
1.065000000000000E+009,-1.897000460832254E-001,-9.555197966900354E-001,-1.901401281538784E-001,-9.603664183838749E-001,-1.898689742958438E-001,-9.590094970902925E-001,-1.890186980777131E-001,-9.533808630124454E-001,-1.896251863241196E-001,-9.554809489250183E-001,
1.070000000000000E+009,-1.984274745768621E-001,-9.541088381777618E-001,-1.989149783185112E-001,-9.589863751446871E-001,-1.985786186241244E-001,-9.576758159637671E-001,-1.977452742037187E-001,-9.519307163891908E-001,-1.984466395378113E-001,-9.540919923782352E-001,
1.075000000000000E+009,-2.069477413792680E-001,-9.524438335018841E-001,-2.075448058818295E-001,-9.573937250414486E-001,-2.072757482564540E-001,-9.560936942887419E-001,-2.062443798258576E-001,-9.502810992453492E-001,-2.069411528110505E-001,-9.524513025283815E-001,
1.080000000000000E+009,-2.157452212563102E-001,-9.505285214707615E-001,-2.165553927950065E-001,-9.554540211168515E-001,-2.161868995420477E-001,-9.541570096613632E-001,-2.149724106934174E-001,-9.482786471441592E-001,-2.157383319139481E-001,-9.505222640037537E-001,
1.085000000000000E+009,-2.244944261390468E-001,-9.485744502135290E-001,-2.254626136517913E-001,-9.535529081381264E-001,-2.250433732713579E-001,-9.522874319194405E-001,-2.237612632376221E-001,-9.463071082298831E-001,-2.245920236110688E-001,-9.485427470207216E-001,
1.090000000000000E+009,-2.327365601704073E-001,-9.463588052718468E-001,-2.337739872093179E-001,-9.513224109882627E-001,-2.333217547816321E-001,-9.500609317145567E-001,-2.318849264496201E-001,-9.441050020236148E-001,-2.327060941457749E-001,-9.463158688545229E-001,
1.095000000000000E+009,-2.410245591103470E-001,-9.442133518566941E-001,-2.421684060754802E-001,-9.491474302258820E-001,-2.418007849579588E-001,-9.478524471069897E-001,-2.401944055611665E-001,-9.418484071139713E-001,-2.411395411491394E-001,-9.441803803443910E-001,
1.100000000000000E+009,-2.492633092420952E-001,-9.414936786692588E-001,-2.504693104993864E-001,-9.463750425807331E-001,-2.500353454199834E-001,-9.450936393925310E-001,-2.481931319888398E-001,-9.391231335960879E-001,-2.492567876577378E-001,-9.414406495094302E-001,
1.105000000000000E+009,-2.573109242551038E-001,-9.393466026333830E-001,-2.587267759371021E-001,-9.441191975520560E-001,-2.582144858597438E-001,-9.428740438284488E-001,-2.562970855528443E-001,-9.370085991369022E-001,-2.573377132415772E-001,-9.392915530204774E-001,
1.110000000000000E+009,-2.652827072246202E-001,-9.366422192502206E-001,-2.666846805290831E-001,-9.412721467096099E-001,-2.662427796361541E-001,-9.401184379817414E-001,-2.640802246805696E-001,-9.343094047945987E-001,-2.652262964248658E-001,-9.365062074661255E-001,
1.115000000000000E+009,-2.732447957638786E-001,-9.337107760303125E-001,-2.746896024986302E-001,-9.383104660694507E-001,-2.742207725968732E-001,-9.371681500690874E-001,-2.719937057097718E-001,-9.314885958347293E-001,-2.731466023921967E-001,-9.337474627494814E-001,
1.120000000000000E+009,-2.809391378028071E-001,-9.307874138274078E-001,-2.824003923615077E-001,-9.353361177810653E-001,-2.819168988494853E-001,-9.341828488661578E-001,-2.796406583620880E-001,-9.286432553135195E-001,-2.808524832725525E-001,-9.308143758773806E-001,
1.125000000000000E+009,-2.885668423223980E-001,-9.284234118387722E-001,-2.900388238146798E-001,-9.329380455866878E-001,-2.896100799542293E-001,-9.317434024509929E-001,-2.872597239329926E-001,-9.263283579281678E-001,-2.885140533447266E-001,-9.284178824424745E-001,
1.130000000000000E+009,-2.961905096739086E-001,-9.261223177970104E-001,-2.976752481577661E-001,-9.305630405832110E-001,-2.972402763352461E-001,-9.294048033883900E-001,-2.948706466786408E-001,-9.240975472128847E-001,-2.962104089260101E-001,-9.261082067489626E-001,
1.135000000000000E+009,-3.040729820139517E-001,-9.235966897792758E-001,-3.055121245736434E-001,-9.280483001537763E-001,-3.050542316274179E-001,-9.268504012363853E-001,-3.027417105395997E-001,-9.215995864131655E-001,-3.039955289363862E-001,-9.235323805809023E-001,
1.140000000000000E+009,-3.116785417604744E-001,-9.210621433477290E-001,-3.130889112851654E-001,-9.254445398231076E-001,-3.126382878727584E-001,-9.242892565135896E-001,-3.103831923311067E-001,-9.191012929439395E-001,-3.116164226531983E-001,-9.210794868469240E-001,
1.145000000000000E+009,-3.195702737175327E-001,-9.185457188038534E-001,-3.209683592171394E-001,-9.228765658910604E-001,-3.205087935749404E-001,-9.216878725224222E-001,-3.182849909712190E-001,-9.166148188007753E-001,-3.194729378223420E-001,-9.185189881324770E-001,
1.150000000000000E+009,-3.271543756420707E-001,-9.154171784615578E-001,-3.285306269860970E-001,-9.198335079125439E-001,-3.280114243654958E-001,-9.186267220618658E-001,-3.258737642223084E-001,-9.135425171719607E-001,-3.271126317977906E-001,-9.154999947547914E-001,
1.155000000000000E+009,-3.351860166526160E-001,-9.127839366892097E-001,-3.364516536524564E-001,-9.171170183598401E-001,-3.360703127405106E-001,-9.159501636370914E-001,-3.339754442189088E-001,-9.108289082053409E-001,-3.351613354682923E-001,-9.127580780982973E-001,
1.160000000000000E+009,-3.434477746252567E-001,-9.099966255297329E-001,-3.447202979480364E-001,-9.144645032941043E-001,-3.442496622200927E-001,-9.132279922576760E-001,-3.422453620715089E-001,-9.082192271982426E-001,-3.434292407035828E-001,-9.100372319221498E-001,
1.165000000000000E+009,-3.516065104418152E-001,-9.070008277865359E-001,-3.528460433314074E-001,-9.114985345559467E-001,-3.524337364304483E-001,-9.102985618492634E-001,-3.504851876790436E-001,-9.051565516572757E-001,-3.515781950950623E-001,-9.070608229637147E-001,
1.170000000000000E+009,-3.599496962629520E-001,-9.039608621275285E-001,-3.611427304897897E-001,-9.085202116580666E-001,-3.606950246719486E-001,-9.072720447649858E-001,-3.587995221788239E-001,-9.020829156411319E-001,-3.599358386993409E-001,-9.039817433357241E-001,
1.175000000000000E+009,-3.681228385967974E-001,-9.011216883040235E-001,-3.693059260999114E-001,-9.056533692872526E-001,-3.688569532213347E-001,-9.044468004125001E-001,-3.670305292990967E-001,-8.991492069706728E-001,-3.680289993286133E-001,-9.010399212837220E-001,
1.180000000000000E+009,-3.762461766333404E-001,-8.978909690528054E-001,-3.773922076432767E-001,-9.025737941532903E-001,-3.769779779379179E-001,-9.013923638165537E-001,-3.751934437037691E-001,-8.959051629140995E-001,-3.761548397541047E-001,-8.978608617782593E-001,
1.185000000000000E+009,-3.842035719711244E-001,-8.947540999038774E-001,-3.854623464141846E-001,-8.995079422319150E-001,-3.849418570541254E-001,-8.982297613033791E-001,-3.830987107312838E-001,-8.927164736501467E-001,-3.841280937194825E-001,-8.947168631553650E-001,
1.190000000000000E+009,-3.917423553090629E-001,-8.912604622487003E-001,-3.931150266118453E-001,-8.961067501015718E-001,-3.925628368753949E-001,-8.948163900710995E-001,-3.906332824939576E-001,-8.891533777318728E-001,-3.917261092662812E-001,-8.912221016883852E-001,
1.195000000000000E+009,-3.992816561791009E-001,-8.878652046122741E-001,-4.006620435603142E-001,-8.928055610160715E-001,-4.001668395877734E-001,-8.914737190591465E-001,-3.981058574339967E-001,-8.856422306153078E-001,-3.992813129425050E-001,-8.878428797721865E-001,
1.200000000000000E+009,-4.069195510960080E-001,-8.846170606167778E-001,-4.083682279640493E-001,-8.896641739299398E-001,-4.078776908591226E-001,-8.883050923079170E-001,-4.056903926900972E-001,-8.823987741423891E-001,-4.068458001613619E-001,-8.845953640937807E-001,
1.205000000000000E+009,-4.146234705921916E-001,-8.812576964861150E-001,-4.161891348012241E-001,-8.863793602868318E-001,-4.156162016534852E-001,-8.850364123213399E-001,-4.133075703400087E-001,-8.790805157427127E-001,-4.145270042419434E-001,-8.812071237564088E-001,
1.210000000000000E+009,-4.224753592590557E-001,-8.777124922859135E-001,-4.242556555976256E-001,-8.827997135336463E-001,-4.236096859608973E-001,-8.815070310713500E-001,-4.210926502766328E-001,-8.754655445759829E-001,-4.224216935634614E-001,-8.776859188079836E-001,
1.215000000000000E+009,-4.303809492585535E-001,-8.741662459594624E-001,-4.322699512387689E-001,-8.792569386174741E-001,-4.316399177508523E-001,-8.779584812400942E-001,-4.289035708086519E-001,-8.719727724933168E-001,-4.303099024295808E-001,-8.741308140754701E-001,
1.220000000000000E+009,-4.381645188907208E-001,-8.701854039564874E-001,-4.402299400190013E-001,-8.752925188730191E-001,-4.395407095956805E-001,-8.740287724015098E-001,-4.366258707586946E-001,-8.680575474690189E-001,-4.380802106857301E-001,-8.702345848083497E-001,
1.225000000000000E+009,-4.459618393773423E-001,-8.664027308897787E-001,-4.480936803205975E-001,-8.714243019752127E-001,-4.474450830342207E-001,-8.701851590208138E-001,-4.442798771492127E-001,-8.641896632714297E-001,-4.458218164443970E-001,-8.663651652336122E-001,
1.230000000000000E+009,-4.541125750232117E-001,-8.621870619327550E-001,-4.564596465888791E-001,-8.670946364800340E-001,-4.557469866579832E-001,-8.658881983099883E-001,-4.523986200478151E-001,-8.600725784748599E-001,-4.540180768966676E-001,-8.621248998641968E-001,
1.235000000000000E+009,-4.620198869966435E-001,-8.579186718503713E-001,-4.644357307185008E-001,-8.627118399534732E-001,-4.637009511060544E-001,-8.614926433810320E-001,-4.601702196476258E-001,-8.558309734456485E-001,-4.619474391937256E-001,-8.578792152404786E-001,
1.240000000000000E+009,-4.699865540798268E-001,-8.534908762612720E-001,-4.725039001599635E-001,-8.582211296469513E-001,-4.717661871597478E-001,-8.570171764723020E-001,-4.681570731968202E-001,-8.514708724429995E-001,-4.699143323898317E-001,-8.534671578407289E-001,
1.245000000000000E+009,-4.779783976869237E-001,-8.493778912468443E-001,-4.806301734833907E-001,-8.540013111149490E-001,-4.798511761805890E-001,-8.528268432329185E-001,-4.761809276130189E-001,-8.474346576390200E-001,-4.779586966037751E-001,-8.493402876853944E-001,
1.250000000000000E+009,-4.856328907928348E-001,-8.448305570935091E-001,-4.883133992545148E-001,-8.493936249612386E-001,-4.875546586552720E-001,-8.482438807198889E-001,-4.837706108204530E-001,-8.429155206435000E-001,-4.855511014461518E-001,-8.448104786872865E-001,
1.255000000000000E+009,-4.931898788425292E-001,-8.405179482009584E-001,-4.959224529615250E-001,-8.450452234192510E-001,-4.951293738671999E-001,-8.439445503713609E-001,-4.913126140203401E-001,-8.387231732279971E-001,-4.930899987220765E-001,-8.405598955154420E-001,
1.260000000000000E+009,-5.007201113140070E-001,-8.361012056461007E-001,-5.034172001606901E-001,-8.404940820895028E-001,-5.026248713176105E-001,-8.393879143302891E-001,-4.987738714403199E-001,-8.343522912839418E-001,-5.006298537254335E-001,-8.361050219535828E-001,
1.265000000000000E+009,-5.078102094960744E-001,-8.314734804230817E-001,-5.104344708893911E-001,-8.357923141578357E-001,-5.097217829572772E-001,-8.347090118666780E-001,-5.058636171498903E-001,-8.297708975179934E-001,-5.076864266395570E-001,-8.314530396461489E-001,
1.270000000000000E+009,-5.144774225946418E-001,-8.271860461558638E-001,-5.170855091137296E-001,-8.314820505094527E-001,-5.163086192271923E-001,-8.303730258235619E-001,-5.126006800952881E-001,-8.255104643478030E-001,-5.144051775932312E-001,-8.271976909637454E-001,
1.275000000000000E+009,-5.210937803605066E-001,-8.225752830299464E-001,-5.237179826404703E-001,-8.267686389453539E-001,-5.229461783377356E-001,-8.256928906643669E-001,-5.192813133569154E-001,-8.208283307180850E-001,-5.210713376998902E-001,-8.225023570060732E-001,
1.280000000000000E+009,-5.276206138187709E-001,-8.182193946434937E-001,-5.301752628759311E-001,-8.224105136619500E-001,-5.293859308683437E-001,-8.213920766091702E-001,-5.258351617314698E-001,-8.165408919139712E-001,-5.276264824867250E-001,-8.182120862007143E-001,
1.285000000000000E+009,-5.340149051899337E-001,-8.138321509404620E-001,-5.363848340432065E-001,-8.180304811837834E-001,-5.356207326186117E-001,-8.169794942249952E-001,-5.320954314258179E-001,-8.121234687093326E-001,-5.339462890625000E-001,-8.137750587463380E-001,
1.290000000000000E+009,-5.407029392362218E-001,-8.090230290589716E-001,-5.429893659177554E-001,-8.133161434995189E-001,-5.423152592245533E-001,-8.122235042674084E-001,-5.388275895826236E-001,-8.073015821914369E-001,-5.405704469680788E-001,-8.090781502723694E-001,
1.295000000000000E+009,-5.470946809668997E-001,-8.041635194104072E-001,-5.494424489124199E-001,-8.084904927662758E-001,-5.486952982173827E-001,-8.073825094415086E-001,-5.452274243688416E-001,-8.024594698411990E-001,-5.469999666213991E-001,-8.041666913032535E-001,
1.300000000000000E+009,-5.529022795152249E-001,-7.992153286508008E-001,-5.552410385650937E-001,-8.036708020122888E-001,-5.545663281216275E-001,-8.025702838711172E-001,-5.510952249263490E-001,-7.974753847880984E-001,-5.528689365386964E-001,-7.991724023818972E-001,
1.305000000000000E+009,-5.589971740259476E-001,-7.943767291304213E-001,-5.613626288499343E-001,-7.988494625877840E-001,-5.607027033764365E-001,-7.977362118611853E-001,-5.571765756080446E-001,-7.926190511402161E-001,-5.589379825592041E-001,-7.943041391372682E-001,
1.310000000000000E+009,-5.647938784989054E-001,-7.896421897365271E-001,-5.671861717852847E-001,-7.941685784461736E-001,-5.664680100421676E-001,-7.930989493608897E-001,-5.629877529171206E-001,-7.879023884896975E-001,-5.647559800148012E-001,-7.896030144691468E-001,
1.315000000000000E+009,-5.706695932106900E-001,-7.851503311723918E-001,-5.731717049611955E-001,-7.897922602128271E-001,-5.724145086313188E-001,-7.886797728300503E-001,-5.688317621481690E-001,-7.833954535783694E-001,-5.705680437088013E-001,-7.851625995635989E-001,
