% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:cap1_copo2_0_1diverso_S21,im:cap1_copo2_0_1diverso_S21,re:cap1_copo2_0_1diverso_tam_S21,im:cap1_copo2_0_1diverso_tam_S21,re:cap1_copo2_0_1azul_S21,im:cap1_copo2_0_1azul_S21,
1.050000000000000E+009,-1.620366785024828E-001,-9.571074444274148E-001,-1.636667208033797E-001,-9.566006933445985E-001,-1.626695405102283E-001,-9.568741575555670E-001,-1.620507273184006E-001,-9.571941288735961E-001,
1.055000000000000E+009,-1.705100494338963E-001,-9.565351502743940E-001,-1.720937877536666E-001,-9.556156477680365E-001,-1.710774368299554E-001,-9.563859779691463E-001,-1.704629890626366E-001,-9.566013081956147E-001,
1.060000000000000E+009,-1.784610601523072E-001,-9.554455206763761E-001,-1.798993627460349E-001,-9.542657045404797E-001,-1.790569290919146E-001,-9.552940838656781E-001,-1.784874802187468E-001,-9.554791794855719E-001,
1.065000000000000E+009,-1.876444244330421E-001,-9.544187559416936E-001,-1.887887574592100E-001,-9.529967775391298E-001,-1.881927279649875E-001,-9.542013775553953E-001,-1.875985816827841E-001,-9.544268222560381E-001,
1.070000000000000E+009,-1.955407360986827E-001,-9.524827545278992E-001,-1.965064416967695E-001,-9.509307067646353E-001,-1.961387938062407E-001,-9.522957853564709E-001,-1.955415087921695E-001,-9.525771361148692E-001,
1.075000000000000E+009,-2.041052617101085E-001,-9.505903042345248E-001,-2.047282953090679E-001,-9.489077050597944E-001,-2.047118092922150E-001,-9.503857356738352E-001,-2.041360314318296E-001,-9.505934706154522E-001,
1.080000000000000E+009,-2.130428851016606E-001,-9.490598499426087E-001,-2.132885738954037E-001,-9.473063626637157E-001,-2.136325940462353E-001,-9.488197140773612E-001,-2.130277208298554E-001,-9.490682550892605E-001,
1.085000000000000E+009,-2.217087124296670E-001,-9.468494563858240E-001,-2.216975835440407E-001,-9.453132817372570E-001,-2.223659127242458E-001,-9.466269997023833E-001,-2.217806566784071E-001,-9.469416446669337E-001,
1.090000000000000E+009,-2.306311598426745E-001,-9.446154015018751E-001,-2.303202995190650E-001,-9.433202845015297E-001,-2.311871299160707E-001,-9.443865743114850E-001,-2.305960096474929E-001,-9.445706107985914E-001,
1.095000000000000E+009,-2.381734542748482E-001,-9.423769221784318E-001,-2.379088169860221E-001,-9.412953609547269E-001,-2.387610744413489E-001,-9.421680762528768E-001,-2.382244806282521E-001,-9.424418373015358E-001,
1.100000000000000E+009,-2.465249691637761E-001,-9.405024595120649E-001,-2.461931653265665E-001,-9.396169533229213E-001,-2.470832279968853E-001,-9.402770071594290E-001,-2.465148220482462E-001,-9.405147368428022E-001,
1.105000000000000E+009,-2.539621267497366E-001,-9.373516993523555E-001,-2.537044206988618E-001,-9.365954728212506E-001,-2.545833380655261E-001,-9.371164864683734E-001,-2.539695145197204E-001,-9.373367872453311E-001,
1.110000000000000E+009,-2.619282515561830E-001,-9.349790210042859E-001,-2.617004010133927E-001,-9.343500959997767E-001,-2.625138136015794E-001,-9.347498955589509E-001,-2.619242948943817E-001,-9.349910503854779E-001,
1.115000000000000E+009,-2.696819639887221E-001,-9.323997379058416E-001,-2.694702898125089E-001,-9.318954515221498E-001,-2.702298381104131E-001,-9.322140745409973E-001,-2.696776013897297E-001,-9.324286281067138E-001,
1.120000000000000E+009,-2.775194242036970E-001,-9.301874813972890E-001,-2.773765667268611E-001,-9.297142166683197E-001,-2.781209146957705E-001,-9.299701070764344E-001,-2.775290595864926E-001,-9.301867725112912E-001,
1.125000000000000E+009,-2.849792220752113E-001,-9.275857594374179E-001,-2.848753989969601E-001,-9.272158033045193E-001,-2.855988486604855E-001,-9.273806886766984E-001,-2.849983970659561E-001,-9.275962894867766E-001,
1.130000000000000E+009,-2.930990613206268E-001,-9.253170075972582E-001,-2.930713387741505E-001,-9.250668677435283E-001,-2.936997645426722E-001,-9.251321402916235E-001,-2.931152678163456E-001,-9.253522298227144E-001,
1.135000000000000E+009,-3.012885585930832E-001,-9.227340675589414E-001,-3.012893180359811E-001,-9.225652169393694E-001,-3.018948039239738E-001,-9.225579928310689E-001,-3.013151645006760E-001,-9.227558747483378E-001,
1.140000000000000E+009,-3.087799288666748E-001,-9.198582275903282E-001,-3.089004749243842E-001,-9.197807691417972E-001,-3.093473333297225E-001,-9.196977594853382E-001,-3.087145270057566E-001,-9.198743090279391E-001,
1.145000000000000E+009,-3.166522040080064E-001,-9.173696490539594E-001,-3.169275950306520E-001,-9.174169489994355E-001,-3.172586331782548E-001,-9.171970471733734E-001,-3.166483996769609E-001,-9.173687157577330E-001,
1.150000000000000E+009,-3.243548349691560E-001,-9.140104044263439E-001,-3.248906791783498E-001,-9.140576390686850E-001,-3.249213329819808E-001,-9.138051354685044E-001,-3.242972836916890E-001,-9.140476845857593E-001,
1.155000000000000E+009,-3.318399389155077E-001,-9.109855088718635E-001,-3.326883937176159E-001,-9.110313156255026E-001,-3.325003429171777E-001,-9.108145847156930E-001,-3.317991081406574E-001,-9.110101563227369E-001,
